"EnsembleID","Episcore","HGNCsymbol","batch"
"ENSG00000004866",0.882316666666667,"ST7","HItraining"
"ENSG00000005339",0.822416666666667,"CREBBP","HItraining"
"ENSG00000005513",0.772,"SOX8","HItraining"
"ENSG00000006704",0.70165,"GTF2IRD1","HItraining"
"ENSG00000007168",0.879366666666667,"PAFAH1B1","HItraining"
"ENSG00000007372",0.9501,"PAX6","HItraining"
"ENSG00000008196",0.909716666666667,"TFAP2B","HItraining"
"ENSG00000008710",0.6703,"PKD1","HItraining"
"ENSG00000017260",0.931283333333333,"ATP2C1","HItraining"
"ENSG00000017427",0.769233333333333,"IGF1","HItraining"
"ENSG00000018625",0.759366666666667,"ATP1A2","HItraining"
"ENSG00000021574",0.812433333333333,"SPAST","HItraining"
"ENSG00000026103",0.882216666666667,"FAS","HItraining"
"ENSG00000040608",0.68485,"RTN4R","HItraining"
"ENSG00000043355",0.933116666666667,"ZIC2","HItraining"
"ENSG00000049618",0.959983333333333,"ARID1B","HItraining"
"ENSG00000052850",0.941533333333333,"ALX4","HItraining"
"ENSG00000054598",0.9283,"FOXC1","HItraining"
"ENSG00000055118",0.835166666666667,"KCNH2","HItraining"
"ENSG00000056661",0.889016666666667,"PCGF2","HItraining"
"ENSG00000066926",0.709866666666667,"FECH","HItraining"
"ENSG00000067082",0.908533333333333,"KLF6","HItraining"
"ENSG00000067955",0.792016666666667,"CBFB","HItraining"
"ENSG00000069011",0.914866666666667,"PITX1","HItraining"
"ENSG00000069424",0.751183333333333,"KCNAB2","HItraining"
"ENSG00000070193",0.897816666666667,"FGF10","HItraining"
"ENSG00000070814",0.702366666666667,"TCOF1","HItraining"
"ENSG00000072274",0.778983333333333,"TFRC","HItraining"
"ENSG00000074047",0.696233333333333,"GLI2","HItraining"
"ENSG00000075043",0.8283,"KCNQ2","HItraining"
"ENSG00000075891",0.8893,"PAX2","HItraining"
"ENSG00000076242",0.949816666666667,"MLH1","HItraining"
"ENSG00000077782",0.883116666666667,"FGFR1","HItraining"
"ENSG00000077800",0.683916666666667,"FKBP6","HItraining"
"ENSG00000077809",0.924783333333333,"GTF2I","HItraining"
"ENSG00000077942",0.847433333333333,"FBLN1","HItraining"
"ENSG00000078900",0.838483333333333,"TP73","HItraining"
"ENSG00000079246",0.844083333333333,"XRCC5","HItraining"
"ENSG00000087460",0.964866666666667,"GNAS","HItraining"
"ENSG00000089225",0.91085,"TBX5","HItraining"
"ENSG00000093010",0.717333333333333,"COMT","HItraining"
"ENSG00000095002",0.775866666666667,"MSH2","HItraining"
"ENSG00000096696",0.932216666666667,"DSP","HItraining"
"ENSG00000099917",0.79035,"MED15","HItraining"
"ENSG00000099956",0.711016666666667,"SMARCB1","HItraining"
"ENSG00000100084",0.853466666666667,"HIRA","HItraining"
"ENSG00000100146",0.711866666666667,"SOX10","HItraining"
"ENSG00000100345",0.851616666666667,"MYH9","HItraining"
"ENSG00000100393",0.966,"EP300","HItraining"
