ensemblID	E003	E004	E005	E006	E007	E017	E021	E022	E050	E055	E056	E059	E089	E090	E094	E097	E098	E100	E109
ENSG00000001617	6	5	10	12	8	11	7	7	0	9	7	8	0	8	9	6	8	8	10
ENSG00000001631	5	8	6	3	6	5	4	3	10	7	2	4	2	6	6	2	5	6	5
ENSG00000003756	12	7	18	23	11	15	14	14	12	9	10	12	22	19	18	10	18	11	17
ENSG00000003989	7	6	19	13	7	26	7	4	7	19	16	15	14	23	14	28	31	26	0
ENSG00000004142	13	6	18	18	9	14	10	15	11	11	11	8	12	13	20	8	23	5	10
ENSG00000004866	15	13	4	7	4	24	9	7	26	19	12	16	9	18	12	7	23	26	13
ENSG00000005339	7	3	10	9	8	6	6	8	10	1	3	7	12	10	11	9	12	5	6
ENSG00000005379	10	4	6	5	9	4	8	0	7	4	1	7	12	13	5	0	7	3	5
ENSG00000005381	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	2	0
ENSG00000005448	9	6	0	0	7	12	8	11	10	12	0	6	8	11	7	7	0	8	9
ENSG00000005513	10	0	9	3	11	6	8	0	0	8	11	12	15	12	13	8	7	4	2
ENSG00000006704	8	8	8	10	7	9	8	11	8	10	8	5	11	11	5	6	6	3	5
ENSG00000007168	13	5	11	19	12	22	7	15	7	17	14	14	17	16	14	15	15	12	12
ENSG00000007312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007372	22	11	0	0	18	11	17	0	0	11	11	12	0	13	0	11	10	8	0
ENSG00000007376	21	0	15	25	21	16	12	28	19	0	15	24	32	31	19	16	28	9	10
ENSG00000008196	6	2	6	0	0	0	6	0	0	0	0	4	0	0	0	0	0	3	0
ENSG00000008282	40	30	32	31	26	29	31	31	22	29	24	19	28	37	21	21	21	16	13
ENSG00000008710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011143	20	6	20	10	13	10	15	23	17	7	7	17	11	12	8	4	9	4	6
ENSG00000012048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000015520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000017260	6	13	13	4	5	6	3	5	12	10	7	8	11	25	5	8	3	7	9
ENSG00000017427	0	0	0	0	0	0	0	0	0	0	0	0	7	13	0	18	0	10	0
ENSG00000018625	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	4	0
ENSG00000021488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000021574	6	7	12	18	3	27	1	4	12	24	19	4	12	16	10	18	11	9	9
ENSG00000023330	2	3	2	3	1	2	0	8	3	0	2	9	3	3	2	1	2	4	0
ENSG00000026103	13	6	8	14	9	37	4	3	19	35	23	14	5	21	6	22	11	13	20
ENSG00000028277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000030582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000032444	12	4	28	19	11	16	14	16	21	12	12	15	20	22	20	20	30	10	17
ENSG00000034971	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ENSG00000035115	13	6	20	27	11	22	11	18	8	24	20	13	26	24	10	14	13	4	6
ENSG00000040531	21	7	23	28	16	24	17	26	16	20	15	17	27	22	18	19	30	8	8
ENSG00000040608	11	3	9	19	8	10	5	17	10	8	10	11	18	0	9	11	12	7	5
ENSG00000043143	20	14	14	21	15	21	16	13	20	13	16	13	16	17	17	14	23	18	19
ENSG00000043355	24	22	16	11	16	11	20	4	0	11	6	12	0	0	7	11	8	9	13
ENSG00000046604	17	23	20	16	13	8	11	9	11	0	0	2	4	6	9	5	15	3	12
ENSG00000049167	13	6	8	3	2	2	4	10	12	4	1	3	2	2	5	2	6	1	7
ENSG00000049540	0	0	0	0	0	0	0	0	0	0	0	0	11	12	17	15	16	13	11
ENSG00000049541	21	13	23	25	19	34	19	31	22	29	24	18	33	33	15	21	22	16	12
ENSG00000049618	16	10	11	11	5	21	8	7	24	15	12	20	7	18	4	20	11	16	8
ENSG00000050820	16	11	28	29	21	26	11	23	0	24	20	31	30	36	16	20	31	15	17
ENSG00000052126	16	13	12	18	7	27	12	5	12	22	11	8	9	16	11	11	7	1	6
ENSG00000052850	14	2	0	0	0	0	8	2	0	1	2	1	11	12	1	2	1	5	1
ENSG00000053918	21	0	0	0	19	0	16	14	16	20	19	5	0	0	16	20	21	6	6
ENSG00000054598	14	12	22	27	12	36	13	14	0	26	23	15	23	26	14	11	18	13	17
ENSG00000055118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000055950	20	11	20	21	20	17	14	27	16	18	17	21	23	24	14	17	12	11	11
ENSG00000056661	14	11	20	21	15	16	10	16	14	11	10	15	21	18	11	11	22	10	14
ENSG00000057294	4	4	8	2	3	1	2	3	5	0	2	4	2	3	1	1	3	1	2
ENSG00000058600	9	5	16	19	5	16	7	8	20	19	18	20	18	16	13	10	17	8	14
ENSG00000058673	26	16	31	27	26	30	27	21	25	26	28	28	25	35	21	22	30	21	24
ENSG00000059804	20	19	17	9	9	13	13	12	0	10	6	4	6	13	4	7	5	2	8
ENSG00000063046	0	3	1	5	1	3	1	1	7	4	1	6	2	4	1	1	2	2	4
ENSG00000063660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000063854	9	1	13	15	8	9	5	12	10	4	4	9	10	9	12	7	12	4	12
ENSG00000064601	12	9	14	24	10	12	8	15	0	13	11	13	14	15	16	11	16	8	14
ENSG00000064932	4	0	21	25	11	23	11	10	4	6	4	16	8	7	21	14	24	13	15
ENSG00000066735	7	0	0	0	8	0	5	0	0	0	0	0	0	0	0	7	0	4	0
ENSG00000066926	21	17	15	22	16	10	18	9	14	12	13	11	12	12	10	8	12	10	10
ENSG00000066933	18	6	19	26	10	35	11	16	10	32	36	8	24	31	13	15	23	10	15
ENSG00000067082	24	21	33	41	20	50	7	16	27	40	39	38	33	50	13	28	25	22	27
