gene	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000001617	4926	2884	3604	3194	4277	4498	6206	4183	2624	1909	5659	7201	3975	7048	7411	4766	3904	4966	7496	4198	2954	3342	2250	7040	2990	3926	6214	5587	247	2881	1744	2022	2337	1890	5040	2100	1574	2844	2907	2374	2404	2687	1946	2375	4575	0	1659	2192	2901	3887	1864	2920	2417	2899	14384	25490	18101	17602	4897	3504	3233	7106	2707	2745	5656	3509	5869	7675	4941	4947	4897	2956	13279	8051	9076	14648	5640	2930	1950	6875	1894	3439	3764	5988	3124	5087	4347	3301	4270	4749	4662	5471	4666	5021	1844	5059	4991	2516	4554	4825	4179	3127	5848	2924	19303	4166	3038	15167	5701	4375	9087	3652	0	1990	19391	4527	5055	2139	4252	4464	1443	2252	4359	3041	14156	3099	5903
ENSG00000003756	2951	2093	2630	2849	1361	2323	2209	2756	3420	3345	3980	3230	3776	2785	3428	3336	3592	2800	4397	3495	1715	2464	4353	2400	4005	3118	3501	3483	1910	2694	2864	2547	2630	3042	3590	3347	3356	4109	3489	3401	3983	3238	4049	4487	3044	2270	3136	5390	3371	3415	3781	3201	2229	3728	4209	2973	2772	3139	2688	4319	2647	4037	2763	2825	3380	3869	3293	2873	3996	3484	2935	3137	3706	3633	3851	3577	2582	2650	2773	3210	3226	2804	2718	2666	2700	3801	2349	2448	2009	2522	2580	2719	3168	3310	3157	2506	3006	3166	3357	3854	2971	4063	3365	4090	2698	2859	224	2987	2794	3227	1467	3297	4566	3866	4078	2868	2681	2768	3830	3067	3491	3202	3717	2701	3570	2732	3037
ENSG00000003989	6584	2252	3078	1902	3326	1556	1908	3695	3924	1933	5437	3126	3531	3788	1158	4766	4070	3347	3680	2190	2539	1786	1837	1434	6586	2883	5221	2468	0	543	0	0	0	0	1914	1380	0	0	3075	0	0	0	1359	0	1355	0	0	0	4947	1833	1654	6188	1690	3178	4343	249	4531	5533	1414	1849	1497	3358	4078	9640	3355	5471	3210	2306	3737	4651	5173	4067	360	6242	5348	8158	4230	2863	0	3115	2664	4121	5082	3349	7190	4129	2604	3106	6578	4136	2875	2891	3325	3182	6721	3400	3457	5953	5040	3597	6515	3461	4875	5397	6979	6921	3696	0	3831	2358	1098	5224	0	0	14458	7071	2123	3906	2461	4005	0	1587	5741	2212	5888	2199	575
ENSG00000004142	4381	2375	3081	2720	1814	1853	1745	2861	4199	3704	5461	4944	3599	3212	3288	3949	2925	3434	3593	3443	2796	1648	2665	2279	3674	2955	2532	5567	1625	1718	1872	1756	2095	3418	2119	3299	2151	3741	3057	5874	2990	3215	2474	1918	3214	1683	3174	4296	3657	2430	3487	3547	2674	4882	6602	1814	2988	3734	3649	3893	1621	4897	1570	3432	4672	3131	2825	3885	2601	3392	8094	2932	2755	2750	2975	2879	1598	3483	2637	2529	3036	3018	3231	3053	2085	3363	2076	2667	2417	2012	4129	1996	2127	2540	2447	3156	4622	3394	4169	3216	3347	2483	2456	3368	3364	3069	2853	1921	4296	2928	1092	3296	4774	3385	7689	3140	3613	2770	2396	2501	4517	2741	3213	2448	3569	2736	3563
ENSG00000005379	5442	0	643	0	941	3291	926	1508	2515	2301	0	7600	0	0	0	0	0	12077	1262	1153	0	1334	0	0	0	0	0	0	12451	17178	19153	17808	19088	21066	13948	22894	20206	20404	21987	19962	23158	18542	26132	22500	22510	21286	19429	23739	0	17123	22441	0	1698	6533	0	5080	0	0	8849	0	13349	12171	0	11931	12265	11736	9783	7363	17615	11358	11986	11059	23722	5910	18065	13536	2153	3692	3945	7205	0	7853	14254	3051	0	6032	3389	4406	12968	6052	24667	7932	2630	3907	0	1930	1253	1812	17902	18314	19239	3668	6264	12778	3178	7334	5804	2101	9944	21657	20509	0	28770	19121	0	2050	0	0	0	0	13625	22135	0	0	0	0	0
ENSG00000005381	1869	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	3057	0	1325	0	1894	0	0	0	0	0	0	2370	3441	0	0	0	0	0	16031	0	0	0	0	0	0	0	0	0	0	0	0	0	10912	2000	0	0	0	0	2548	0	0	3841	0	3182	0	0	0	3062	2856	1502	0	0	1293	0	0	0	2443	1780	1875	0	0	0	0	0	0	1302	0	0	0	2372	1432	0	0	0	0	0	0	0	2109	0	0	0	0	0	0	3652	0	0	2405	0	1774	0	0	4889	0	0	0	0	0	0	1210	0	0	0	9921	0	0	0	0	0
ENSG00000005448	2525	1826	2849	1030	1121	1907	1985	2300	2640	2969	2510	2743	2437	3552	1768	2607	1586	3843	1723	1716	1721	1387	1937	2391	2250	2068	2671	3268	2001	4390	1376	4106	2510	3411	1476	2087	3134	5072	3049	3111	3270	2650	3318	2118	3048	1416	2261	2617	1855	3869	2458	1703	2384	3209	10241	7042	2524	8758	5104	3484	2752	1574	1220	2833	2564	5748	3705	2578	2597	3250	5347	2846	4400	3980	3214	3524	206	2555	1254	2893	1871	1535	4332	3286	1815	3473	2037	1413	1178	1672	1631	4611	1182	1802	1286	1968	7027	1244	3080	2400	4137	1403	2581	1135	681	309	1239	3121	3949	2131	7420	2990	4112	5344	3096	2056	4273	1815	1357	1310	2349	3172	2984	2662	9127	1499	3184
ENSG00000007312	1977	0	0	0	3483	5606	1233	558	0	0	0	0	0	0	1197	0	0	2067	0	0	0	2052	0	0	0	0	0	0	2020	490	11316	10443	2203	5214	2592	2788	2625	2844	3258	1981	3956	2481	7767	3157	2796	427	3143	3027	0	5959	2612	0	0	0	3076	2353	0	0	8275	1872	6802	3027	0	2356	0	0	0	0	0	0	0	0	3758	0	2405	1775	4606	1191	0	0	0	0	0	0	0	0	0	0	2620	219	2832	4291	1579	0	0	4242	0	0	4615	3062	5826	0	0	4147	2623	3067	5095	0	3099	2683	10159	0	3281	6235	0	1412	0	0	0	0	852	2569	0	0	0	0	0
ENSG00000007314	0	0	0	0	3909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1438	1268	1999	0	0	2683	5255	815	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7514	17590	0	0	0	0	2889	2355	0	0	2428	0	1127	0	1503	0	0	0	1043	0	1879	0	1417
ENSG00000007376	1959	1664	2629	2021	8962	17343	4784	5360	6459	5209	2838	3297	4905	3420	6040	4826	4235	3441	5386	5057	3484	2501	3229	3288	2677	3124	2571	5691	1854	3248	2170	3283	2336	3454	3537	4037	3480	3746	3418	1678	2816	2319	4960	5128	3887	2474	3863	2567	4586	2499	3252	4251	3343	3080	32814	36807	8739	13110	33503	4693	2163	3580	1451	2572	3153	3856	3254	8505	2988	4256	4513	3263	5894	4676	4390	2874	9678	2610	0	4058	3370	4015	4374	2897	1851	2970	2083	3831	2279	3724	2888	7853	2086	3571	2681	10880	8367	1963	2773	4312	3759	1661	4516	2025	3535	4072	2733	4124	3210	2607	28945	3136	6733	4277	6591	3728	3274	3910	2642	2653	3063	3401	3253	2323	3370	3089	3597
