gene	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000001631	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1491	0	1597	1689	0	1178	0	0	0	0	0	0	0	2398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2215	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004866	4163	0	0	0	0	0	0	0	0	562	21293	0	0	0	0	0	0	4753	0	3313	0	0	0	0	0	0	0	0	1843	3203	0	2601	0	2395	0	0	0	0	0	0	4123	0	0	2571	377	2507	0	0	1289	0	0	0	0	0	1135	1398	1315	982	0	891	0	0	0	0	0	0	0	2668	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	8750	1911	0	0	0	684	0	0	0	0	0	0	0	0	0	0	1132	0	0	3783	0	0	27860	0	0	0	0	0	0	0	0	2127	0	0	0	0	759
ENSG00000005339	352	0	886	0	0	0	0	0	0	0	0	0	0	1389	0	2194	1977	2947	5933	1456	696	0	1285	0	0	0	0	0	1632	4146	0	0	0	4236	0	2777	0	0	0	0	0	0	0	4348	0	4116	0	0	0	3564	2632	0	0	0	5753	4089	0	1830	0	0	3788	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	0	1067	0	0	0	2117	2986	0	0	0	391	4341	860	4282	4028	0	0	0	0	0	0	0	0	0	820	0	0	0	0	0	0	0	0	4239	0	0	3641	0	0	1379	0	0	0	0	0	3717	0	0	0	0	327
ENSG00000005513	23290	2340	7432	2677	7739	2153	1136	1645	1778	2415	15701	18322	8347	9019	13147	17062	23263	2288	21964	13254	1636	2299	13036	2476	22200	34432	39486	120464	13124	13348	0	8205	1043	18524	0	9293	840	0	0	4449	2021	2565	5378	6710	5270	1214	0	0	22155	20691	7886	22210	0	0	23969	28643	25143	122710	22370	26251	14272	22131	0	2429	6852	0	0	4712	7025	0	8824	0	10589	10553	12924	21958	8306	24412	6294	9823	1502	13311	10629	1883	4510	2232	10742	11297	22718	42022	17603	0	5429	15950	15078	0	15052	13919	1827	14210	6281	0	33207	8459	32718	22493	5430	12776	2257	15593	16915	5433	0	3554	0	9102	16199	0	0	6211	1399	15723	22237	8825	16527	17991	23158
ENSG00000006704	0	0	776	0	0	0	793	0	2056	0	0	0	3895	0	0	0	2473	0	0	0	0	0	0	0	10003	0	0	3065	7254	8270	0	5822	0	7555	0	2735	0	0	0	0	1515	0	2854	6484	0	5202	2530	0	0	9594	3384	0	0	0	1405	3080	0	1636	0	0	5760	0	0	0	0	0	0	0	0	0	0	0	495	0	1245	2733	0	0	0	0	0	0	0	0	0	0	2014	684	3116	10981	10576	0	0	0	0	0	0	0	0	0	1545	0	0	0	0	0	3578	0	0	20464	5645	0	0	1046	0	967	0	0	1186	0	0	6466	0	0	0	2031	0
ENSG00000007168	0	0	1804	0	0	0	0	0	0	0	0	0	2081	1885	0	0	864	0	0	0	0	0	3776	0	3036	4142	0	0	0	4560	0	0	0	17261	0	0	0	0	0	684	0	0	0	15058	0	0	0	0	1744	0	0	3821	0	0	954	0	1347	671	0	1021	0	0	0	0	0	0	0	2112	0	0	0	0	0	0	0	0	0	2633	0	758	0	0	0	0	0	0	702	2708	451	6252	0	0	0	0	0	0	0	0	525	0	669	0	0	0	0	0	1110	0	0	0	0	0	2843	0	0	2245	0	3334	0	6621	0	1252	0	0	0	0	0
ENSG00000007372	46735	38231	38592	37294	28142	37457	13940	36614	31936	29741	38770	43239	57152	55476	47076	47329	46787	46384	46150	49072	25589	35548	56086	34425	54327	50636	52264	49949	61347	95570	18656	41088	46914	33308	53232	45195	45543	52484	55063	54349	68862	65724	64416	56919	53013	51002	57824	39337	51031	58630	57120	90483	5305	57841	46424	46508	41825	60001	26005	50986	54801	56998	4502	34949	54257	38868	47354	46496	50056	38919	43798	41910	41351	52844	50165	56623	33684	34817	55140	52275	59635	56070	46531	57022	0	131774	27805	43766	32459	36407	66311	23661	33701	46255	63020	231	49179	18268	57605	57535	34987	5129	47360	18382	48947	57651	18335	44314	39503	56982	37724	3072	25536	36376	4203	21349	53272	47104	49988	76968	4639	58478	49829	23569	56347	54744	53438
ENSG00000008196	45168	45599	42570	3051	5299	1102	1281	41455	43270	41601	65559	44922	56801	47226	53812	44256	11099	49344	45658	46329	1119	7382	47111	7737	43460	1578	0	16523	44692	44543	4350	41588	43364	12980	45248	2611	14136	43482	44009	41622	43855	40943	45730	41041	20792	19245	42409	0	40806	50024	46299	37852	45264	2184	9459	11259	0	0	12201	11211	45029	47053	7328	38904	54901	46828	45040	45414	53286	60834	47525	44576	11559	44781	42644	49610	12959	11307	58776	56325	45450	48174	46725	46845	7519	51516	9734	42780	9168	13124	42747	2475	4729	14490	43054	5139	9329	4173	43163	41790	15664	9111	53256	372	47744	52864	5276	43440	20453	39985	11804	13410	7298	15595	6397	10605	19850	15634	42332	39345	0	42913	14601	11674	10996	11840	13365
ENSG00000008710	2183	0	655	0	0	0	0	0	0	0	0	5299	643	0	0	0	0	0	3758	3788	0	0	0	0	0	0	0	0	0	0	0	0	0	4865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012048	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2267	0	0	0	0	0	0	0	0	0	0	0
