gene	E001	E002	E003	E004	E005	E006	E007	E008	E011	E014	E015	E016	E017	E018	E019	E020	E023	E025	E026	E027	E038	E047	E049	E052	E062	E063	E066	E067	E068	E069	E072	E073	E074	E075	E076	E077	E083	E086	E087	E088	E101	E102	E103	E107	E108	E110	E111	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128
ENSG00000001631	4726	1869	3612	4614	1854	2608	2182	3732	5921	4404	4053	6677	5487	5333	7620	7080	4286	5274	4656	5092	4798	5590	13052	4979	6826	5609	9496	4202	4934	4937	1537	4597	4624	5027	5549	4051	4975	4900	2627	5975	6771	5844	3820	3871	5285	6632	4399	6023	6159	5668	4522	4388	4942	4139	5295	4345	4651	4542	5516	5595	5957	4428
ENSG00000004866	4003	1181	3877	5001	4704	2530	1664	1262	3559	3605	3765	5603	4374	5076	4364	4952	5400	5478	5324	4531	3935	6062	4589	4940	5069	5833	6653	8276	7000	4798	5222	4421	4981	6847	4803	7058	22025	3733	4791	9534	6547	6462	4979	6476	4893	11956	6837	3890	0	11597	6244	5397	5291	3286	2973	3963	10617	5114	6751	3675	3767	3074
ENSG00000005339	4049	571	4114	856	3076	2596	1527	382	4807	6555	6231	4994	5203	1528	4441	3240	3654	15640	3372	3991	15610	2762	7972	6573	8951	17145	1977	11744	10189	12986	16971	7706	13161	7185	7911	10889	15166	2169	1840	11000	6636	8725	1969	8389	13664	14719	12487	3885	8040	5166	4604	2125	4923	3262	3236	4052	4070	13677	3600	3753	5923	2891
ENSG00000005513	6025	0	629	1950	1984	0	10967	463	0	0	5789	5598	2456	2239	3465	1325	1787	0	0	1322	3156	2940	6186	785	4164	0	0	30519	30230	18926	26333	25960	23867	3619	1998	0	1328	279	0	0	0	4430	860	4141	0	2855	0	1771	0	0	0	0	0	0	1000	1508	0	1765	0	0	0	0
ENSG00000006704	4848	2916	3581	3565	3055	4150	5287	2588	8197	3652	3253	3781	4484	3284	4589	6659	4622	6689	3306	3150	8164	1605	9614	9257	2240	4788	3486	7314	6109	1762	6745	5103	5016	6066	6838	4792	16635	1511	3258	3519	2981	4736	3889	39040	20603	5538	6148	3655	5956	2310	6637	4698	4578	3314	3430	3001	2566	2925	7338	2692	5619	2764
ENSG00000007168	4388	2228	5614	4291	307	345	500	3083	8390	3169	5067	3763	5823	3970	5337	6363	5095	7151	7228	5088	9817	6163	7419	7281	4328	6791	6734	6965	10465	4436	6357	3927	4220	7385	6488	6073	5918	6756	4194	5075	4444	1753	5506	4878	4363	4226	4949	4752	7026	6396	7665	3794	995	3755	3606	4089	4321	7419	6941	3546	4747	3733
ENSG00000007372	13043	0	0	3082	0	2264	6483	4625	10479	3146	4226	6961	548	2778	8639	9900	0	0	0	1505	0	760	0	0	3020	7298	1860	15809	17607	15741	14361	3142	11566	837	0	9944	8414	0	27108	0	0	0	0	5065	8872	31726	0	2336	0	0	9205	0	0	0	1152	0	3666	8902	22415	1762	0	0
ENSG00000008196	5173	0	0	2780	3154	1418	1155	0	0	0	2922	1036	0	0	2447	2467	1295	1426	920	12767	756	1455	605	1908	498	2932	1906	0	786	0	0	0	0	0	0	2354	1621	9355	0	844	0	650	0	906	867	2125	0	637	639	0	0	552	692	504	0	0	745	2513	1439	424	5338	0
ENSG00000008710	2879	0	2205	2391	0	1242	2090	0	596	0	2388	1847	3493	578	658	727	8447	2008	3891	0	8906	285	2975	3233	759	0	570	1809	1722	1857	1166	714	716	3192	1497	1781	3188	0	1858	0	1383	2239	596	6666	4053	5721	2135	3031	8804	3574	804	3501	6055	1820	1759	3398	2930	2215	2061	1959	3227	2825
ENSG00000012048	4494	2225	3603	2877	2160	3405	3330	3199	2316	2169	3139	2619	2999	3300	8157	3221	2947	4044	2015	3169	9129	2223	6322	2612	4057	5409	1713	2434	3605	2265	3536	2756	2472	3431	1049	3478	3015	2058	2165	3728	2673	2675	3406	2041	1977	8396	2901	4289	3738	2805	780	5761	1628	3168	2775	2437	3041	2402	3012	2746	2227	2842
