gene	E003	E004	E005	E006	E007	E008	E017	E021	E022	E028	E029	E032	E033	E034	E046	E050	E051	E055	E056	E057	E059	E080	E081	E082	E083	E084	E085	E086	E088	E089	E090	E091	E092	E093	E094	E097	E098	E100	E109	E114	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128
ENSG00000001617	17	18	5	11	21	12	11	25	26	17	9	10	1	7	4	7	9	23	16	13	3	11	14	14	10	7	2	36	31	21	23	37	28	12	15	12	5	16	32	11	0	17	14	16	8	17	17	4	6	10	11	26	10
ENSG00000003756	5	4	3	3	5	4	5	5	4	2	9	10	8	20	7	8	10	10	11	4	7	9	2	3	2	3	4	6	13	2	3	10	3	3	1	8	5	5	4	4	15	3	2	2	4	5	6	3	9	5	4	4	6
ENSG00000003989	10	18	23	19	13	8	16	16	21	5	1	2	0	1	1	5	9	17	17	7	10	13	5	10	16	8	7	17	11	16	14	36	13	4	10	53	26	16	10	9	0	17	9	4	12	14	11	1	1	7	1	6	7
ENSG00000004142	15	17	12	11	21	10	21	27	21	11	5	34	24	33	17	12	20	24	19	16	13	21	7	14	22	9	10	35	15	16	15	29	15	20	12	33	29	50	14	33	18	15	15	10	13	23	13	11	16	18	11	50	17
ENSG00000005379	24	23	11	6	32	19	18	39	41	5	37	54	45	52	44	31	36	22	15	7	10	27	16	18	18	13	8	41	26	24	25	29	23	32	8	18	26	27	31	17	25	1	46	1	7	17	1	27	35	14	12	13	14
ENSG00000005381	11	8	5	1	10	9	8	18	17	2	16	4	9	7	13	12	11	7	2	2	3	5	3	5	2	3	3	8	7	6	8	13	3	8	2	2	6	11	3	11	2	2	11	0	3	4	0	9	36	4	6	7	1
ENSG00000005448	11	9	9	5	6	5	11	15	13	12	5	15	13	14	9	11	14	15	21	13	7	8	8	7	15	21	21	21	10	15	17	17	17	14	6	16	8	17	15	20	8	7	15	8	11	16	7	9	6	9	17	47	11
ENSG00000007312	15	7	3	3	18	15	4	27	27	4	7	56	42	34	20	18	23	9	7	5	4	10	2	7	6	4	3	29	10	19	18	26	11	25	3	16	8	30	6	28	21	2	37	7	6	10	2	6	17	5	2	5	1
ENSG00000007314	13	9	5	7	31	9	13	23	25	4	11	29	22	29	17	22	20	24	17	6	5	14	4	4	26	10	10	18	26	38	33	22	15	29	4	34	12	65	9	23	9	5	30	6	12	26	6	10	15	10	17	8	10
ENSG00000007376	23	10	5	11	31	17	9	42	38	7	19	46	29	35	11	22	30	15	12	7	8	8	5	7	11	8	8	61	15	21	17	42	20	33	6	35	13	36	16	47	8	21	35	12	8	21	4	15	15	12	6	19	7
