gene	E003	E005	E006	E008	E009	E010	E017	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000001617	2720	24145	7581	0	4009	0	4949	1757	0	1240	5172	2200	5181	1601	2263	1929	1963	2459	8118	440	2271	2403	1768
ENSG00000003756	1497	1745	1464	1364	1464	1591	1315	1488	1746	1663	1652	980	1756	1187	2564	1346	1349	1983	1699	1274	1645	1220	1514
ENSG00000003989	3838	1482	2299	1476	3284	3387	2773	5620	0	0	4829	0	263	4034	1965	3726	0	0	4569	1627	3302	3427	3650
ENSG00000004142	2167	1251	1364	1312	1381	1276	1417	1498	1939	1572	2802	1354	2004	1291	1543	1767	1792	2824	3064	1182	2155	1649	2408
ENSG00000005379	0	7940	3875	0	1597	2887	3493	0	0	0	2166	3833	699	0	0	4209	8212	4066	1899	0	0	0	1073
ENSG00000005381	1488	2925	1022	2141	2663	0	3595	0	1604	0	0	0	0	2065	2598	0	3774	21048	0	0	0	0	1609
ENSG00000005448	1556	2600	3405	2032	1709	2576	3087	2249	2915	3548	2957	1533	2111	524	3116	2667	2077	6178	2561	2032	1072	518	1592
ENSG00000007312	2712	6080	5369	2772	5031	0	5156	0	2343	2958	0	0	2209	3600	1462	2557	2359	1962	0	0	1231	0	0
ENSG00000007314	3215	3428	974	0	0	0	4978	1160	0	0	1798	0	1292	0	0	1099	1159	3913	3182	0	1587	0	0
ENSG00000007376	1145	7020	2241	1473	1350	1119	10337	918	1352	1205	1384	0	1586	1476	1275	1330	1372	3391	2533	1186	1762	1500	1455
ENSG00000008282	780	2539	2153	2649	385	3963	1902	2023	1067	3094	2899	2165	2258	2040	5649	2400	3540	6701	4055	3346	475	2281	1827
ENSG00000011143	2256	1747	1583	1741	1818	1788	1773	2855	2471	2740	2338	1720	1926	1790	1900	1882	1729	7892	2606	3016	2522	2362	1942
ENSG00000015520	0	3210	2836	1571	5678	3576	6704	2271	0	0	3472	1597	2943	662	0	0	7872	0	0	0	2202	0	1088
ENSG00000021488	2414	469	1727	1248	7521	0	0	0	0	0	1123	2039	1372	0	0	0	0	0	0	0	0	0	427
