gene	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000001617	16	15	7	4	7	2	30	13	10	10	3	7	17	6	13	6	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	36	40	18	9	4	1	3	8	14	11	12	11	17	13	15	4	21	13	11	14	8	8	7	2	9	11	13	11	7	15	4	17	8	2	2	27	23	18	8	23	38	24	12	16	6	12	16	11	0	0	6	11	13	2	4	7	2	0	6	5	11	4	9
ENSG00000003756	2	3	3	4	4	5	6	4	6	2	4	1	6	1	1	1	2	3	6	5	9	7	2	8	2	12	4	5	9	9	3	4	4	4	7	11	9	2	3	15	2	8	4	1	1	5	4	2	3	2	4	1	2	3	3	3	1	1	1	1	3	2	1	2	2	2	7	2	3	1	4	2	2	2	4	4	4	1	1	2	6	3	1	3	4	1	1	2	3	2	3	2	9	2	4	1	2	6
ENSG00000003989	2	3	18	3	1	2	1	4	4	2	0	0	6	1	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	4	3	0	4	0	1	3	20	2	9	4	6	3	7	4	2	2	2	5	5	3	4	12	2	3	14	4	2	4	5	4	27	14	3	34	0	1	2	7	5	1	19	2	2	1	2	0	0	1	8	4	0	2	2	2	0	0	2	0	0	0	0
ENSG00000004142	5	7	7	6	3	5	10	12	6	10	6	8	10	2	3	0	6	6	2	5	5	2	3	4	3	4	7	6	2	3	5	2	3	8	5	26	28	6	8	11	4	7	13	9	13	12	11	8	9	17	4	15	9	5	13	8	7	8	8	6	6	8	8	4	9	14	17	15	10	3	13	9	6	3	17	24	10	8	12	8	14	19	2	3	2	12	8	7	4	6	4	5	8	8	5	6	8	7
ENSG00000005379	9	2	8	4	6	6	8	10	6	4	1	1	4	2	5	2	11	2	6	3	7	6	10	4	6	6	6	9	9	7	11	11	3	2	9	18	17	11	10	7	12	5	1	5	12	29	19	14	19	24	16	16	13	8	18	5	9	10	2	5	13	11	9	3	18	8	16	2	2	2	2	13	13	10	11	19	9	8	18	9	13	11	0	9	5	0	3	0	3	4	0	6	10	3	5	0	3	3
ENSG00000005381	1	3	0	0	0	4	1	1	0	2	0	1	0	1	1	1	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	0	3	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	3	0	1	0	0	0	1	2	0	0	1	1	0	0	0	4	0	1	2	1	0	3	0	3	0	0	0	0	0	2	0	0	18	0	0	0	1	0
ENSG00000005448	6	7	2	2	4	4	9	6	10	9	5	5	5	5	5	2	10	2	3	8	5	3	2	3	1	2	1	3	3	3	2	1	2	3	7	14	15	17	9	15	1	4	4	5	12	16	13	13	13	12	18	7	8	6	6	5	11	14	7	6	8	6	6	5	7	5	12	8	3	11	8	7	4	6	5	24	10	3	10	5	10	5	2	7	6	3	7	7	5	3	2	3	2	3	4	8	5	4
ENSG00000007312	2	0	0	0	0	1	2	5	1	0	0	0	0	0	0	0	2	0	1	10	3	2	2	2	1	6	1	4	1	4	14	1	1	0	3	11	10	0	9	6	4	1	0	2	0	0	0	0	0	2	0	5	0	1	3	1	0	0	0	5	4	6	0	4	0	3	5	0	2	1	11	5	2	0	2	15	16	10	4	1	7	7	0	4	7	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000007314	7	0	0	0	3	2	2	4	3	5	1	2	4	1	2	0	6	1	3	1	5	2	1	3	1	3	4	2	1	2	3	1	1	0	6	12	16	1	6	2	1	12	5	6	1	7	2	6	2	4	2	6	12	1	7	14	1	3	1	21	17	1	11	9	3	8	15	14	2	4	39	9	5	8	10	20	8	13	11	4	9	8	1	2	1	1	1	1	4	8	2	1	4	2	0	1	0	0
ENSG00000007376	9	3	3	2	5	2	10	3	3	6	1	5	5	1	4	1	12	1	1	3	3	3	3	3	3	3	3	3	4	3	3	3	4	1	4	27	30	6	17	12	3	2	1	2	3	6	4	3	4	7	6	3	4	2	4	1	2	2	2	1	3	1	6	5	3	4	4	3	3	5	4	3	1	3	2	23	4	2	4	3	7	3	4	2	3	4	2	3	3	4	3	5	3	4	4	4	3	3
ENSG00000008282	8	4	2	5	2	10	2	4	6	3	4	2	3	0	3	4	2	1	1	19	7	2	2	7	2	15	1	5	11	3	6	4	2	3	22	5	6	8	3	4	4	6	4	3	5	3	6	1	4	3	4	3	15	9	3	5	2	1	2	3	1	3	4	6	1	14	3	6	3	2	12	3	2	13	12	9	6	15	4	8	4	9	1	8	5	2	2	3	3	4	2	3	2	3	4	7	2	2
ENSG00000011143	0	2	0	1	1	4	2	3	3	3	1	1	2	0	1	2	1	6	2	3	2	2	1	4	2	2	1	3	3	2	2	2	3	3	2	9	7	3	3	3	1	1	3	2	3	3	3	1	2	1	3	2	3	2	2	2	4	4	2	1	2	1	1	3	3	2	4	2	2	0	3	1	2	3	3	5	3	2	3	1	3	2	2	2	3	1	2	2	4	2	2	1	2	4	1	1	1	4
ENSG00000015520	0	0	1	1	0	2	1	1	0	2	0	0	4	0	0	2	2	0	2	0	0	1	1	2	0	2	0	0	1	0	0	1	0	0	1	10	12	7	3	1	0	3	1	4	1	0	1	1	0	0	1	1	0	3	3	0	5	7	1	0	0	0	4	0	1	0	0	3	1	5	0	0	0	0	0	5	3	0	6	1	0	0	0	0	2	0	6	2	0	0	0	1	1	0	0	3	1	0
ENSG00000021488	3	1	0	2	0	3	0	2	1	0	1	0	0	0	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	2	2	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	6	3	0	1	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
ENSG00000023330	2	2	8	1	1	4	10	4	4	2	1	2	21	1	1	0	5	0	11	4	9	9	2	4	2	6	5	7	3	5	5	2	6	2	5	16	16	4	7	9	2	11	4	13	12	7	11	15	18	12	13	19	13	7	11	21	8	8	6	5	6	15	12	7	14	12	34	9	4	7	8	16	9	6	10	23	17	5	18	9	10	18	1	3	6	7	4	4	2	6	3	3	11	3	2	3	6	3
ENSG00000028277	4	4	2	5	0	0	5	6	4	5	1	3	7	0	3	0	4	3	6	19	8	5	6	9	7	16	10	12	10	14	9	5	5	2	5	18	26	11	3	4	6	1	1	3	4	9	4	6	4	7	8	8	1	3	9	5	0	0	0	0	0	0	2	8	1	1	3	1	7	0	0	12	8	0	0	10	14	3	13	0	10	17	1	3	5	1	0	5	2	2	2	0	12	3	7	5	2	5
ENSG00000035115	3	1	7	2	1	6	2	4	2	9	2	5	9	2	3	1	6	2	1	3	3	1	2	2	2	5	3	2	5	1	5	1	2	1	5	8	5	10	1	6	3	1	2	3	8	8	9	9	9	6	17	8	2	4	3	18	8	8	3	1	1	4	5	1	9	1	7	3	11	4	4	4	3	3	1	5	13	1	11	1	4	4	2	4	2	2	12	2	1	1	1	2	5	3	2	4	4	4
ENSG00000040531	5	3	4	2	1	9	9	6	2	6	5	2	3	0	5	2	8	2	2	4	1	2	1	1	1	2	2	2	1	1	1	1	2	3	3	11	10	2	9	15	1	4	1	7	7	10	5	14	4	10	10	3	3	2	1	8	4	2	1	5	8	7	4	5	7	4	8	11	5	1	11	2	2	1	8	33	3	3	4	1	3	2	1	3	3	4	3	2	5	3	5	5	6	2	4	1	3	5
ENSG00000043143	21	21	12	14	4	17	3	2	0	14	14	12	12	8	16	14	24	8	7	11	11	9	2	12	8	12	15	19	12	15	11	6	4	4	12	20	24	11	14	9	6	8	20	9	7	17	8	9	10	13	11	11	5	11	11	11	9	10	18	1	3	4	6	5	11	16	24	16	13	13	13	9	10	5	15	29	17	8	19	14	11	11	5	12	12	4	9	6	3	2	7	6	6	7	10	3	7	5
ENSG00000049167	1	0	0	1	1	3	0	0	0	1	2	1	2	3	0	0	2	2	4	2	2	1	1	4	1	2	1	1	2	1	2	2	1	2	3	3	4	2	0	2	1	2	2	2	2	3	2	1	2	1	2	1	2	1	1	1	2	1	2	1	3	1	1	3	3	2	2	2	3	1	5	2	1	2	3	3	2	1	2	1	3	2	1	3	1	2	3	2	2	1	3	1	2	2	4	2	2	5
ENSG00000050820	21	15	18	26	15	16	25	23	17	13	14	21	23	10	13	11	50	8	0	0	0	4	0	0	0	0	1	1	0	0	0	0	3	12	0	28	25	25	25	29	1	6	25	12	12	18	13	9	9	14	10	25	22	11	22	18	19	19	27	16	21	14	16	4	12	15	27	48	23	23	34	23	24	24	30	40	26	11	25	13	12	21	16	0	7	10	17	14	18	17	12	3	0	22	26	17	11	18
ENSG00000052126	10	14	2	12	3	13	10	0	12	16	7	14	4	6	8	5	5	10	1	0	3	2	2	1	2	3	5	0	1	4	1	0	2	7	3	10	6	4	3	4	2	4	7	6	6	10	5	3	8	5	3	3	3	5	6	14	4	7	1	3	8	4	3	4	2	22	2	8	2	5	2	2	3	4	16	16	3	3	5	2	1	1	2	2	0	2	1	10	3	2	2	4	2	11	2	7	4	7
ENSG00000055950	8	11	5	7	6	8	12	9	11	7	7	8	11	8	7	3	9	3	4	5	5	5	4	7	3	5	3	3	4	4	3	3	5	6	7	25	32	7	18	24	8	6	8	9	16	14	13	8	11	16	16	10	8	8	5	6	9	7	8	7	6	4	7	6	10	6	16	15	12	7	7	13	6	5	6	20	9	4	10	12	8	7	6	3	5	3	17	6	4	4	3	6	6	2	3	3	5	9
ENSG00000058600	7	3	1	2	2	6	8	9	3	4	4	1	4	2	3	2	10	2	1	2	2	6	2	4	4	5	4	5	3	4	1	3	8	3	8	14	20	4	9	11	3	2	2	2	5	5	5	4	5	6	7	3	5	2	7	12	3	3	2	2	1	2	3	6	2	4	4	2	1	0	5	5	4	4	2	9	5	4	3	3	6	2	2	3	1	2	2	4	1	5	2	8	4	2	3	3	2	3
ENSG00000058673	4	2	16	3	1	5	5	2	4	2	3	2	4	3	2	1	6	3	3	4	5	1	2	7	2	21	2	5	11	4	2	1	1	6	9	8	7	8	3	10	3	10	5	3	5	7	6	8	6	6	6	5	9	2	2	5	2	1	4	5	9	16	1	4	2	6	5	4	2	1	10	2	4	6	3	4	2	3	4	4	4	1	1	3	2	3	1	2	5	3	2	3	11	4	4	4	1	6
ENSG00000059804	16	29	31	4	3	16	15	0	16	16	11	13	3	7	7	7	16	3	6	2	6	5	2	8	4	15	7	4	8	5	4	1	5	2	5	5	11	7	3	4	2	3	0	3	5	3	4	2	3	6	4	2	3	3	7	6	5	5	1	4	3	8	6	2	3	5	10	3	2	2	7	6	4	5	4	4	4	5	4	4	3	3	5	6	2	5	5	5	2	3	5	6	8	3	5	3	5	4
ENSG00000063046	10	5	9	7	6	11	9	0	3	16	9	12	3	7	2	8	8	1	1	1	4	2	2	7	4	9	6	2	5	6	2	2	5	5	11	12	11	6	3	16	2	12	2	8	2	2	2	1	2	3	2	7	2	6	5	7	8	10	5	2	1	2	3	2	4	2	3	3	4	3	5	5	6	1	2	2	11	2	12	1	2	1	4	2	3	4	9	6	2	2	2	9	7	4	5	4	2	6
ENSG00000063660	5	3	8	1	5	2	10	7	5	4	0	2	8	1	2	1	0	3	0	0	0	0	0	1	0	2	3	0	0	1	0	0	1	3	0	23	22	10	11	11	0	3	4	2	11	14	14	11	12	17	11	4	4	2	15	2	1	2	5	4	6	5	13	6	3	7	5	9	4	3	15	7	4	5	6	38	5	6	4	5	12	3	10	0	1	7	0	11	4	5	0	0	0	5	3	8	3	5
ENSG00000063854	3	3	4	2	2	0	2	5	2	3	1	2	7	2	1	2	3	2	3	2	3	3	1	3	1	9	3	4	3	2	2	1	4	1	4	12	17	11	13	21	3	2	3	12	7	3	5	5	8	9	2	10	3	5	7	3	5	7	4	2	2	1	3	3	8	1	5	4	7	2	4	4	4	3	3	13	7	2	5	4	5	1	4	4	2	1	7	4	4	3	2	4	4	1	1	3	2	2
ENSG00000064601	4	3	3	4	2	6	3	4	7	5	2	6	7	2	3	3	8	9	4	3	6	10	4	3	3	11	9	5	9	11	6	3	9	8	16	23	30	7	8	12	3	8	6	4	10	9	6	8	9	15	8	8	9	6	4	21	7	6	4	4	7	6	7	9	4	5	12	17	7	1	8	5	6	4	6	17	6	5	7	3	14	10	4	3	4	9	6	6	2	8	4	9	12	8	8	7	12	8
ENSG00000064932	19	12	17	17	7	5	4	20	8	11	9	10	25	1	5	2	27	11	13	3	6	9	4	5	4	9	6	9	8	6	10	3	6	7	7	32	41	12	19	18	5	13	8	12	8	10	10	11	11	13	7	16	11	7	20	7	9	11	11	5	7	17	11	19	12	8	29	19	13	18	12	16	12	9	9	27	25	14	19	9	29	25	10	7	9	12	10	14	6	7	7	10	15	7	8	11	11	16
ENSG00000066735	15	7	3	1	9	1	3	6	0	6	9	6	0	0	3	6	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	6	0	5	3	0	1	0	4	3	4	0	4	3	7	2	2	0	0	2	16	6	6	1	6	9	2	8	0	0	3	3	6	1	3	3	0	0	4	4	27	2	3	1	0	1	3	1	0	1	2	0	0	0	3	1	0	0	0	0	0	0	0
