gene	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000001617	6689	3362	927	1528	1756	3018	0	1492	23811	23821	5113	5219	8689	6045	4138	5576	1632	4315	8392	3913	0	1225	7954	2474	10601	2431	0	2714	3029	12924	0	4641	0	12044	1432	4090	2084	1769	5649	4744	6263	3542	8401	8594	6192	1509	1188	2491	3195	3484	3152	1977	7444	5995	41636	56267	1633	4920	19715	9901	9104	4864	0	0	6484	2376	3880	11461	21362	7680	7832	1552	7277	9493	3338	6015	0	56009	0	0	1704	22550	12613	0	0	0	9010	4517	8132	4192	2392	0	0	0	0	0	0	0	2604	0	2220	0	530	3809	0	0	2362	4800	946	7802	5593	2030	0	2955	0	3266	0	3631	5704	0	0	9046	4606	3069	0	1786	1526
ENSG00000003756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	847	426	607	1196	0	0	0	0	0	0	0	0	0	942	0	0	0	0	0	0	0	0	0	0	0	766	0	0	0	0	0	0	1403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1637	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003989	6999	2831	4085	2352	0	0	3213	880	8546	9307	1639	7912	3393	6889	7724	7430	0	8473	7239	6609	816	568	16166	0	16389	17905	902	31032	8336	15902	0	9867	10015	2853	10950	9416	3564	9181	11074	9607	31647	10283	12773	10498	10242	6074	7962	2342	20554	16313	16514	0	3799	1941	1014	715	1424	1861	4678	11196	8530	7176	0	0	2481	0	0	4203	3924	456	395	1233	1908	7033	2019	17331	2713	1049	10999	8268	4460	5862	9480	0	0	0	431	7100	4740	344	9560	2022	1443	0	0	0	0	0	8614	10079	3481	0	0	6011	0	2015	3111	14397	1131	8664	3931	15363	9382	598	0	6285	17217	0	0	0	2074	8486	0	4012	1713	3167	14934
ENSG00000004142	0	0	0	0	0	0	0	0	0	0	8686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1036	2504	989	1841	0	1013	0	0	0	0	0	0	0	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1775	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005379	3044	0	1389	0	0	1429	0	0	6427	6739	2328	6320	2788	4668	10559	9918	6887	10437	312	5545	0	7238	44067	1705	33593	5630	0	16011	6000	0	0	0	0	1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6898	0	0	11946	0	0	40798	39917	9309	7745	11438	7020	0	17827	0	0	8933	0	5800	8479	16373	7049	17107	5781	0	11688	6527	9311	0	3669	0	8710	3552	9632	9042	1304	12928	0	7922	9358	7699	9545	2208	0	6470	0	0	865	0	5144	2783	0	2917	0	19200	0	17901	15961	0	10802	5339	0	0	0	0	0	33541	29037	8042	0	5488	1157	0	9620	8252	0	8922	10293	9213
ENSG00000005381	1642	618	3931	5013	0	3226	0	0	74460	4787	0	6484	3584	7407	7289	4545	1809	8806	8612	6466	0	2724	52408	0	50492	52727	0	28758	0	0	0	2188	0	25754	0	0	0	0	10363	9413	19024	10993	10330	10361	4119	7480	11985	0	53183	0	0	12372	8236	19340	18304	21751	7379	6604	1392	2012	5660	69098	0	3949	5181	3427	4422	14696	17279	10521	9733	5293	2248	6533	3991	70546	3846	2259	28299	42382	1130	25959	9535	0	0	7476	1923	15369	15144	3414	0	0	3443	3767	7282	0	13745	3297	7426	12664	1533	0	23801	1601	18652	10521	1139	18700	5113	0	6664	10688	0	2927	74091	21653	2998	1885	40576	1934	6833	0	7484	0	10624	5901	5666
ENSG00000005448	3031	598	1736	1009	0	0	0	0	0	0	3969	5301	7742	1920	3950	1746	10935	6238	5521	1981	0	0	0	0	0	0	0	4330	4229	18236	0	0	0	10610	0	3039	0	0	0	0	4488	5383	4352	1605	0	0	0	0	0	2737	0	10663	0	0	1155	7743	0	0	0	0	0	4320	152	0	0	0	0	13189	0	0	0	0	0	0	6333	4520	2876	11002	11043	0	0	1568	8977	0	0	0	2259	2197	2124	9515	1186	0	0	0	0	0	0	6179	0	0	0	0	0	0	13811	15203	0	1754	0	6374	4436	0	0	0	0	7360	0	0	0	10505	0	2997	3427	0	0	2835	0
ENSG00000007312	3199	0	0	0	0	3755	0	0	8852	1678	0	0	3209	0	0	0	34269	0	0	812	0	0	28026	0	12862	8121	0	30178	0	3146	0	0	0	15731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8327	0	0	25225	2505	0	80956	112585	2278	4150	0	0	0	4148	0	0	3282	0	0	709	10059	3288	0	6817	4455	4211	1614	5295	0	11321	0	0	0	0	3042	0	1945	0	9019	4361	3338	10889	0	0	0	0	0	0	0	0	0	0	5244	0	8168	0	924	2906	0	9368	1412	0	0	0	287	0	0	77617	0	3326	21817	0	3259	0	7846	0	11094	3745	4031
ENSG00000007314	3335	2149	2010	0	3044	0	0	674	16268	8913	2054	0	2590	2040	3840	1457	14489	0	1427	0	0	0	17514	0	13933	6684	0	2809	895	0	0	5164	0	9744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3008	0	0	6083	3972	9320	80956	112585	0	0	5284	0	2021	8397	0	0	10733	0	0	3109	5458	7621	10636	5430	8928	0	4495	6168	0	6660	2862	6910	0	5524	7104	0	5079	0	3289	0	22327	6789	0	0	0	0	0	0	2011	0	7684	684	5612	0	9534	3645	0	0	1763	28304	5755	0	0	0	2735	0	0	77617	0	0	6178	0	0	2190	1811	0	2785	12820	7866
ENSG00000007376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14298	76961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1906	21145	2137	3112	13493	393	0	0	0	0	0	0	0	1159	12198	0	0	0	946	0	0	0	0	2281	0	0	0	0	0	0	0	0	0	0	2989	29100	0	0	0	0	0	0	0	0	0	0	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008282	1139	0	1157	0	0	0	0	0	5683	5987	0	8738	3416	0	0	1330	0	0	1879	1387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1431	0	0	0	0	0	0	0	0	0	0	1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011143	1793	559	649	0	0	0	0	0	74460	0	8716	47823	1490	1285	787	1824	0	38138	36831	36984	0	0	0	0	0	0	0	0	0	3388	0	2667	0	0	3692	0	0	1943	0	20801	7732	0	23362	44606	0	0	0	0	0	0	0	0	52628	28294	0	0	0	283	0	0	0	0	0	0	0	0	0	2713	0	0	6106	0	1436	0	0	70546	0	2547	47402	3298	2871	754	0	0	0	981	0	0	0	2424	3041	0	0	0	27032	0	0	0	0	0	0	0	35967	0	9870	0	400	0	0	12620	0	46303	2832	0	74091	1418	0	0	0	0	0	0	0	0	0	0	0
ENSG00000015520	0	0	0	0	0	0	0	0	13957	8446	0	0	1491	0	0	0	5777	0	0	0	0	0	0	0	6855	6909	0	13794	0	2650	0	9915	0	10717	0	633	0	0	0	4186	8755	16169	0	10893	0	0	0	0	5489	0	0	7672	7221	4770	48160	29236	0	0	0	0	8708	0	0	0	0	876	0	990	0	0	0	0	2193	0	0	0	0	11141	7298	8008	0	0	0	0	0	0	7086	4242	0	1075	0	0	0	0	0	0	0	0	1327	0	887	0	0	0	2517	3833	0	0	0	0	0	0	3300	0	0	0	0	0	6298	10121	0	0	6405	0	0	5995	4609
ENSG00000021488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2854	0	0	2980	0	1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	0	0	11685	4401	0	283	0	0	0	3172	1015	0	0	0	0	0	0	0	0	0	2188	0	0	0	0	9732	0	0	0	0	0	0	0	0	527	0	3955	11780	0	0	0	0	0	0	0	0	2928	3126	2165	0	9868	1685	0	0	1161	0	0	0	0	0	0	0	0	0	1594	0	0	0	7861	0	0	0	1272	0	1940
