gene	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000001617	18	18	15	13	23	41	35	11	16	16	25	14	19	20	28	17	21	20	10	18	26	52	4	27	12	15	25	29	7	4	2	6	0	6	5	10	4	3	4	4	5	6	3	2	3	6	3	3	12	7	10	14	9	17	20	26	23	13	2	5	4	15	4	13	12	14	16	16	14	13	15	7	23	11	16	12	45	21	13	18	8	23	31	25	0	24	18	16	18	18	26	33	17	36	14	13	18	16	26	28	7	25	36	12	15	18	17	10	19	5	39	12	1	1	10	12	15	9	9	7	11	6	16	3	11	12	17
ENSG00000003756	2	0	0	3	1	3	3	0	3	3	2	2	3	1	1	1	3	2	0	1	0	1	9	3	5	3	5	5	8	5	4	8	3	9	3	8	5	5	9	6	5	3	11	5	5	3	7	6	4	8	9	5	1	6	9	5	1	4	1	7	6	7	3	1	2	4	4	2	3	4	3	2	6	1	8	2	3	2	1	2	3	2	4	1	3	4	4	1	5	3	3	5	6	6	5	6	3	4	5	8	4	9	6	5	1	5	3	3	2	5	4	3	6	3	5	1	3	6	5	5	2	5	4	5	2	4	6
ENSG00000003989	7	2	5	6	13	12	4	5	6	3	7	5	6	9	11	6	9	10	8	8	6	3	4	9	2	1	7	1	0	1	1	2	0	1	2	3	1	0	0	1	1	0	2	0	0	1	1	0	5	2	3	8	2	3	5	5	7	6	2	12	1	4	4	26	2	5	3	1	3	4	4	5	3	1	3	2	6	5	2	1	5	4	7	3	17	14	3	4	15	5	1	6	11	7	36	22	14	16	4	4	0	7	6	1	22	25	3	2	4	1	4	3	0	0	16	6	2	4	4	3	0	1	3	0	5	3	4
ENSG00000004142	7	7	10	1	15	21	9	3	10	9	10	9	14	7	8	8	13	7	5	7	5	13	10	10	9	9	16	13	7	4	3	7	3	12	5	3	5	7	7	5	6	7	7	6	6	6	5	7	7	4	6	8	7	5	16	17	13	10	4	11	5	13	8	18	9	6	10	3	8	7	9	7	9	7	9	9	18	11	5	6	9	13	12	3	6	6	15	9	15	8	11	24	18	13	14	23	7	6	6	8	4	11	22	5	17	16	7	9	8	15	28	5	7	2	10	10	10	14	10	9	4	3	10	5	8	15	10
ENSG00000005379	14	10	15	5	14	14	12	4	12	12	11	15	10	8	19	14	11	20	9	13	21	28	3	23	6	4	9	8	11	13	10	10	26	13	26	26	6	12	15	8	10	12	8	20	14	11	8	12	5	8	15	2	4	10	7	12	12	12	4	5	33	14	1	5	15	20	16	4	12	18	15	10	23	7	17	8	11	8	3	8	3	10	10	1	0	9	14	12	10	13	15	5	4	16	3	5	10	1	21	17	4	2	12	5	10	13	7	9	7	22	33	3	9	12	0	9	5	9	9	1	9	6	10	6	6	3	6
ENSG00000005381	4	4	2	0	5	2	2	1	2	0	2	2	1	4	2	2	1	5	2	1	2	12	2	8	2	1	3	0	22	19	2	0	0	1	11	21	0	0	1	0	2	1	1	1	0	9	0	0	2	11	12	2	1	2	1	4	3	3	2	2	2	1	0	1	1	0	2	0	2	2	3	1	2	1	3	1	4	5	0	0	0	3	2	0	3	2	6	6	2	2	5	0	1	4	1	2	2	0	1	2	0	2	3	0	4	4	0	3	2	0	8	1	3	2	0	2	1	1	2	0	5	16	0	0	0	0	0
ENSG00000005448	11	9	9	1	14	19	10	4	11	9	12	10	9	4	7	1	10	11	4	7	8	25	5	13	12	7	15	25	8	6	7	9	7	9	7	15	5	8	5	4	6	9	5	6	5	7	5	8	14	8	12	17	7	10	23	24	22	18	10	12	10	6	3	11	15	19	11	5	13	15	12	13	15	6	14	9	19	12	5	7	9	19	24	4	1	11	18	12	11	12	10	10	12	15	6	14	13	1	13	18	8	8	20	10	7	11	13	9	14	7	17	7	8	13	7	10	19	11	12	7	9	6	14	8	16	9	16
ENSG00000007312	8	8	10	0	3	8	10	3	6	0	3	11	1	3	9	2	2	7	2	4	7	31	1	10	0	0	9	2	4	4	13	17	5	11	5	10	6	5	7	4	6	8	8	5	8	23	5	5	0	9	10	0	0	0	13	10	1	3	4	1	7	13	0	3	0	1	2	0	1	2	3	0	12	0	10	1	13	8	0	0	1	2	5	0	0	1	12	13	18	16	11	4	1	8	4	4	0	3	11	4	0	0	9	1	21	13	2	2	1	3	41	2	5	10	0	6	1	0	0	1	5	4	0	0	2	0	0
ENSG00000007314	15	7	10	0	4	13	12	2	4	2	6	14	9	6	13	3	16	4	4	8	9	29	10	9	13	5	22	8	4	2	5	10	3	18	12	13	9	8	7	8	9	9	8	6	8	12	8	10	4	11	19	8	5	2	21	20	5	9	6	6	7	23	1	5	4	6	4	1	7	2	6	3	23	9	10	6	13	22	4	1	8	6	8	1	0	12	17	16	16	14	19	11	24	22	14	14	5	33	6	8	2	29	26	4	14	21	1	11	9	5	35	4	4	3	3	7	4	7	24	5	9	7	6	4	5	5	5
ENSG00000007376	6	9	11	0	16	29	11	0	15	8	0	9	9	4	9	2	7	0	2	1	3	53	4	14	3	3	14	5	6	4	4	7	2	8	5	9	4	4	7	6	6	6	8	5	6	6	4	4	6	10	8	8	4	5	19	29	11	18	6	7	6	7	0	4	3	6	4	4	2	4	8	2	12	3	9	4	19	10	5	3	2	4	7	0	0	6	21	11	19	9	8	15	3	7	5	15	13	2	6	5	1	2	13	4	7	6	5	8	5	14	20	17	4	2	9	2	8	6	6	4	9	5	5	1	6	3	4
