gene	E001	E002	E003	E004	E005	E006	E007	E008	E011	E014	E015	E016	E017	E018	E019	E020	E023	E025	E026	E027	E038	E047	E049	E052	E062	E063	E066	E067	E068	E069	E072	E073	E074	E075	E076	E077	E083	E086	E087	E088	E101	E102	E103	E107	E108	E110	E111	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128
ENSG00000001617	4887	1298	5191	8468	2312	4154	19509	4600	4085	6333	9340	6540	5326	15831	5111	7007	3854	3533	4306	24527	0	1089	5369	4140	6184	19243	4041	19596	6904	11723	15387	5595	3120	18930	4027	22655	8998	3420	2882	16941	12861	24089	5889	24036	19498	26651	22130	13606	0	0	23801	5813	5599	702	1080	18133	3075	11194	3171	0	19446	3529
ENSG00000003756	3446	637	3965	3016	1956	3602	1466	2874	2741	2100	7138	3615	2729	3111	2892	3975	8648	9802	3917	4324	12935	3014	3301	3603	3984	3918	3106	4601	4255	4407	4084	4110	3518	3660	3620	5390	3594	3039	2709	3855	3491	3400	4117	4631	4002	3082	3907	3325	7186	3088	2849	3440	2600	2620	2954	5668	3815	3050	7558	3533	3319	2763
ENSG00000003989	2157	0	2382	3572	2411	1311	3211	2394	3172	4945	4132	2214	4754	652	3194	3100	0	0	0	3114	0	1705	3465	1219	0	2654	21917	4487	3311	4922	6623	3982	3327	2240	4244	6012	6227	4038	5660	5995	3901	3136	500	7181	14468	4667	3032	4627	0	0	8789	5751	1833	4018	1846	5208	0	0	3710	0	5120	2036
ENSG00000004142	3658	2413	3902	2745	5204	5254	1761	2614	2752	4131	3493	2775	4192	4189	2865	3241	5793	7636	4801	1283	9856	2653	3641	5010	5596	9848	5014	642	5156	2846	5883	8929	4368	7959	6003	3279	14403	2762	3057	5091	4342	4174	2812	5773	6230	4733	9500	2932	5645	3897	6451	3464	5204	2510	3068	2937	4256	5514	5693	2739	5324	3133
ENSG00000005379	4378	0	0	1085	6882	0	2247	1045	0	3181	5432	10263	2601	1872	1104	4722	0	0	0	7908	21090	14175	0	0	31260	12650	19220	14768	12237	10717	11374	17561	14333	18246	0	18259	0	0	0	11969	26056	23888	15228	13972	1267	18366	12650	0	30753	20254	0	7595	0	0	0	0	13527	18073	7250	0	0	233
ENSG00000005381	1550	0	0	1549	0	0	3248	1664	1071	0	0	479	2128	2629	2084	1000	0	0	0	3128	8608	0	0	0	5371	0	0	3237	0	0	0	0	0	2689	0	0	0	0	0	0	0	0	640	2929	2421	0	0	0	0	0	0	0	0	0	0	0	0	8009	0	0	0	0
ENSG00000005448	2305	1198	2661	1843	1876	2861	1468	1828	2193	1501	12172	5143	5340	6425	2809	6142	2114	3765	2536	1988	6315	368	6060	2092	5177	2381	2019	7475	4560	5273	6236	4165	6185	6936	3468	6786	6402	2445	2743	6204	4914	5052	5473	657	797	6826	6138	2169	5484	5278	8821	5548	10430	1984	1785	1175	1481	2363	2104	2684	9069	3588
ENSG00000007312	2071	0	0	0	0	0	3079	0	0	0	0	884	0	0	0	2123	0	0	0	406	4336	1658	0	0	5443	5280	2809	2026	0	3602	0	0	0	5945	0	4339	3545	0	0	0	7501	2410	4106	6634	3561	5768	0	0	3623	6501	0	0	0	0	0	0	0	3032	0	0	0	0
ENSG00000007314	0	0	0	0	0	365	2040	1019	0	0	2006	0	0	716	0	0	0	0	0	1625	0	0	0	1601	6012	3945	0	0	0	0	0	0	0	0	0	0	0	0	0	3999	0	0	0	33325	12725	0	0	892	0	0	0	0	0	0	7580	0	0	5596	2512	0	1428	0
ENSG00000007376	2961	2612	2926	2426	4254	7381	2129	2230	2224	2685	4072	3301	3654	5351	4156	4529	6536	4683	4755	13943	9260	2161	5995	3687	8777	8232	1380	8225	4462	4639	8668	2673	7566	5403	3612	4162	8510	1731	3737	1954	3753	4776	2563	9625	8097	8183	2800	2665	7449	5427	4818	4807	3817	2160	2138	4140	2693	20759	3933	2241	5195	4178
ENSG00000008282	5322	1076	1783	5497	3018	2075	1732	2983	4893	2424	4357	1800	3418	6225	4251	8117	4830	5906	6748	5160	7238	5551	4642	4258	4084	9834	5141	4220	8223	567	3770	4520	804	3888	10586	4807	320	4925	4735	5007	6282	4082	5439	3813	14272	5975	6027	4697	9612	268	4521	4701	4772	2856	2291	3050	4940	2089	2645	4732	4840	3364
ENSG00000011143	659	0	1573	1613	992	978	1275	1540	1274	1683	1727	1785	1142	1683	2321	1573	1558	2357	1226	1804	1653	2808	2439	1599	2047	1190	2742	1962	2828	1577	1896	2762	1688	1439	3780	1643	4025	2605	2403	2223	881	1926	1665	2269	1784	5444	1701	1916	2981	2901	1668	2199	3021	927	1426	1444	2344	1847	852	2190	1956	979
ENSG00000015520	0	0	0	0	0	0	7474	2958	1553	0	3684	0	2530	1235	0	0	458	1956	0	4868	0	0	0	0	0	9011	7915	0	0	0	0	0	0	1104	0	10861	0	0	3935	0	0	0	218	0	0	8394	0	0	0	0	3803	8776	0	0	0	0	0	0	0	0	2369	0
ENSG00000021488	706	0	0	0	0	190	1222	0	0	0	0	6576	0	0	0	0	0	0	0	1979	0	0	0	0	0	0	2818	0	585	0	1673	0	0	2663	0	3336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3153	0	0	0	0	0	0	0	0	0	0
ENSG00000023330	2053	1576	2307	4252	2753	1994	1246	4772	3394	4156	3049	2126	6476	5114	1753	1323	8470	6471	5583	3213	3994	408	2310	2028	19740	6885	23107	1429	1880	888	915	825	1725	449	5335	8047	6189	2247	2145	5734	4449	9992	6291	15422	6750	30125	7180	1677	8050	8153	747	6102	2205	1196	2708	2470	767	4941	2300	1672	3089	1713
