gene	E003	E004	E005	E006	E007	E008	E017	E021	E022	E028	E029	E032	E033	E034	E046	E050	E051	E055	E056	E057	E059	E080	E081	E082	E083	E084	E085	E086	E088	E089	E090	E091	E092	E093	E094	E097	E098	E100	E109	E114	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128
ENSG00000001631	2	5	7	9	4	1	16	10	14	6	6	5	2	9	6	7	7	9	13	10	6	7	9	11	5	6	7	15	6	7	5	4	5	8	5	9	9	10	10	6	9	6	4	8	4	9	7	12	8	8	10	20	9
ENSG00000004866	12	13	10	31	10	14	17	24	21	12	6	11	11	18	10	13	13	13	10	9	12	12	14	15	49	9	9	24	37	19	30	29	9	21	9	16	10	10	10	10	27	8	9	9	19	31	10	25	10	15	11	17	12
ENSG00000005339	9	14	8	17	23	13	17	23	24	6	14	35	20	38	26	22	19	27	19	9	9	14	5	13	34	7	8	24	13	15	18	16	12	17	5	31	17	28	13	8	31	7	7	9	11	19	10	28	19	15	20	18	9
ENSG00000005513	18	12	6	10	42	16	18	33	40	9	6	37	30	60	19	24	18	29	18	7	15	20	39	35	21	2	7	59	24	45	44	20	30	28	3	23	16	49	12	17	2	5	39	8	21	36	8	8	14	15	13	5	10
ENSG00000006704	23	13	4	15	27	11	13	34	28	5	9	23	9	26	4	11	11	19	12	5	5	19	18	21	29	26	24	58	21	29	27	19	24	17	9	23	15	40	24	20	7	12	14	8	14	24	3	6	13	13	14	16	9
ENSG00000007168	11	9	8	10	16	8	12	23	26	8	7	24	16	45	25	10	8	22	18	6	9	17	9	12	13	6	6	15	17	17	15	16	16	8	8	23	10	28	16	29	8	9	12	11	7	12	9	13	7	9	8	30	11
ENSG00000007372	70	65	17	24	60	32	14	74	84	7	8	53	17	27	8	63	52	39	30	18	23	14	63	84	56	6	17	68	54	55	66	22	69	48	3	11	18	13	11	7	3	7	19	13	5	21	11	15	21	35	16	9	43
ENSG00000008196	23	20	7	1	40	28	2	20	20	4	1	2	1	1	1	6	6	2	4	13	5	17	4	12	3	2	4	12	8	5	11	10	8	1	2	1	1	1	2	1	2	1	2	2	1	2	3	4	1	0	2	7	1
ENSG00000008710	28	26	18	32	43	17	30	49	39	29	15	50	38	53	21	37	33	51	41	27	18	30	33	29	32	22	18	60	31	44	58	55	42	34	22	70	36	64	34	32	19	19	22	36	19	36	17	17	23	35	35	33	31
ENSG00000012048	6	3	4	3	6	3	4	15	20	5	5	10	4	14	5	5	9	6	5	5	6	6	4	8	7	7	7	12	12	5	4	9	9	6	2	14	8	7	7	18	5	6	18	4	2	6	5	9	8	6	7	10	3
ENSG00000017260	6	8	5	7	8	3	7	4	4	11	5	4	5	5	3	15	16	10	8	8	4	6	9	11	4	6	5	5	11	13	7	7	4	8	6	7	7	14	8	5	14	6	1	8	7	9	7	15	6	8	7	10	9
ENSG00000017427	5	6	8	5	8	5	10	13	11	4	6	11	7	6	6	7	11	8	11	2	7	5	9	12	15	2	5	24	28	22	23	20	12	11	6	30	19	16	2	8	11	1	2	3	11	14	4	18	9	13	11	3	9
ENSG00000018625	15	23	4	13	26	15	13	24	20	11	10	21	17	17	17	5	10	17	18	9	14	23	15	15	20	11	9	15	19	34	33	20	14	11	13	24	14	39	13	13	8	12	14	10	21	33	6	10	12	11	15	10	10
ENSG00000021574	4	4	4	5	3	2	6	5	6	3	6	6	5	7	4	5	6	5	3	5	5	6	3	4	4	6	7	6	5	2	3	6	5	3	4	6	4	4	9	9	4	4	11	2	4	5	5	9	4	4	4	5	4
ENSG00000026103	11	12	8	20	18	7	25	17	16	13	13	20	29	49	25	20	16	20	24	10	20	18	10	23	22	14	12	27	42	26	29	8	26	21	13	73	27	15	26	12	25	10	8	20	28	28	15	2	18	16	23	27	17
ENSG00000030582	29	15	11	20	41	18	24	53	42	14	29	54	44	52	26	27	36	38	19	14	12	22	26	25	27	23	24	61	29	44	39	60	26	31	7	65	19	40	17	43	18	20	50	17	15	33	12	17	35	14	21	38	15
ENSG00000032444	19	17	11	14	28	12	13	27	37	11	18	48	26	31	23	26	38	20	17	8	10	23	17	23	22	14	12	49	14	24	30	40	20	23	12	50	15	43	18	13	19	12	19	12	9	20	11	14	43	12	16	14	12
ENSG00000034971	8	8	4	4	3	4	2	9	9	3	2	2	2	4	3	8	4	14	9	3	3	5	4	6	13	5	2	7	13	13	12	10	10	4	1	12	7	12	8	4	2	1	3	2	9	17	3	2	2	4	20	1	7
ENSG00000040608	10	4	0	5	30	6	10	21	26	4	5	19	8	11	7	8	12	14	9	4	8	20	24	25	16	4	2	21	9	25	26	21	10	32	2	12	10	17	7	2	2	0	15	17	6	18	3	38	8	11	6	7	8
ENSG00000043355	49	47	15	30	58	36	8	77	69	16	7	76	61	93	53	78	67	29	22	29	23	26	59	91	70	15	27	82	64	70	44	30	71	71	1	18	10	12	23	27	4	11	26	18	4	17	16	15	32	19	10	7	16
ENSG00000046604	14	20	17	16	17	9	7	29	24	39	5	3	2	0	1	17	13	0	0	25	10	9	9	3	28	24	23	20	8	5	8	18	16	14	15	13	10	3	27	17	20	13	9	46	3	6	0	18	4	19	5	48	18
ENSG00000049540	16	7	8	15	26	14	13	45	46	6	4	24	5	7	6	27	28	35	24	10	7	16	10	12	25	3	4	40	29	45	39	30	26	17	10	44	29	36	14	17	2	4	6	8	23	35	7	6	13	17	26	14	14
ENSG00000049541	6	10	6	27	10	5	13	29	20	6	8	31	20	11	12	17	16	16	13	5	5	11	6	6	10	7	9	22	14	14	15	20	16	13	12	23	15	18	14	11	33	10	18	8	9	11	6	16	11	5	10	17	7
ENSG00000049618	24	26	11	14	18	16	25	41	27	21	13	37	30	32	24	19	19	22	18	14	23	28	22	36	42	21	21	30	32	24	22	14	24	17	13	36	24	17	20	13	34	8	13	22	29	39	21	27	14	20	27	23	22
ENSG00000052850	35	30	13	21	63	29	13	60	55	11	2	32	12	10	2	32	21	29	20	25	22	16	15	23	34	7	8	39	31	33	37	19	31	12	0	9	13	15	7	25	3	5	9	12	10	25	6	12	6	4	30	13	12
ENSG00000053918	9	2	2	1	17	8	8	17	19	2	17	31	24	43	29	18	20	7	2	3	4	15	4	4	38	22	18	30	22	14	16	19	30	17	21	15	30	9	38	8	2	1	13	3	8	19	1	2	24	3	3	6	1
ENSG00000054598	37	39	4	9	58	29	22	47	37	20	10	33	22	24	17	39	26	33	28	13	12	46	17	30	36	20	11	64	43	33	44	32	45	38	3	19	14	11	15	12	6	9	22	15	10	16	39	9	24	11	18	6	13
