gene	E003	E005	E006	E008	E009	E010	E017	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000001631	1829	2094	2057	2053	3218	3630	2115	2096	2587	4572	2860	2040	2665	2392	2586	3153	3141	3888	2614	3643	4580	3616	3770
ENSG00000004866	6299	877	1981	2334	6478	3984	1630	4475	0	3962	4011	4280	4669	2348	4279	2898	10543	6106	1922	4130	4887	4424	4217
ENSG00000005339	4631	5427	2674	784	4020	749	2601	757	2056	3959	634	1018	3281	1934	1660	1438	2667	4208	1244	741	1320	713	996
ENSG00000005513	3615	6939	8194	229	3796	3270	8784	618	0	0	0	0	0	492	2819	1714	1241	8046	912	0	0	0	0
ENSG00000006704	2192	5532	3652	0	2648	2163	4705	2613	2044	2256	3976	810	2512	2667	2864	2745	2741	6412	2418	2388	3084	2397	2677
ENSG00000007168	2201	4445	2101	2482	2224	3074	3157	1877	2681	2106	837	0	417	2365	3843	2328	2691	3461	2162	2827	2395	1949	3097
ENSG00000007372	5413	8971	3984	3421	13090	10007	5289	2324	0	2117	5793	0	5803	3194	11892	2868	2476	10820	16135	2238	4972	2924	3676
ENSG00000008196	306	295	1382	1286	4472	3698	1007	716	589	1608	433	636	1261	590	1134	1329	2919	6760	700	1444	9271	635	1827
ENSG00000008710	1910	3066	2130	0	1728	1763	2426	673	881	645	675	0	1232	1554	1254	739	1685	1455	1223	1869	348	535	561
ENSG00000012048	3192	2915	2352	2052	2331	4003	3006	1993	1747	2624	1801	0	1431	2585	2440	952	2197	2515	2802	509	1524	2802	1002
ENSG00000017260	2720	2069	2158	2125	3619	3709	2355	2411	2921	11193	2240	3068	3318	3529	3186	2426	6378	7404	2296	3641	4360	3851	3171
ENSG00000017427	1720	654	856	1282	0	3418	815	2127	788	7711	403	629	1495	3453	5079	585	1378	2920	3801	3069	1204	1564	4062
ENSG00000018625	3032	1542	393	3518	6613	0	0	0	0	0	3738	0	1540	2887	2488	0	0	0	0	0	0	0	0
ENSG00000021574	2521	3172	3393	3223	3423	2385	3229	4318	4709	2717	2508	3037	4299	2615	4149	2999	9791	12871	2854	3903	2972	3165	3335
ENSG00000026103	837	1869	2362	2298	4717	3209	1890	4358	336	4671	3312	3958	2627	4859	4537	1986	3456	5468	3605	2538	4733	2918	4773
ENSG00000030582	935	4532	206	2119	3821	5869	4996	3555	4153	3892	3563	3013	2967	2989	2080	2871	4773	3755	3860	3968	2585	3443	4103
ENSG00000032444	3144	4247	3494	3629	3235	2969	4104	2820	3857	3733	3577	2070	3718	3830	2942	3641	3792	3697	3918	3070	3744	3641	3478
ENSG00000034971	3544	1431	1701	1932	5385	5132	2942	8220	1208	2823	0	0	2182	2734	8663	2568	875	8105	3770	3841	0	6140	6891
ENSG00000040608	1002	3891	1903	794	2109	2193	4002	0	1480	0	1536	0	1735	1358	1279	1188	1450	2299	973	1276	1525	0	0
ENSG00000043355	2460	5832	3621	2204	4349	0	4802	5080	654	2874	5932	0	5331	5498	5615	3112	4467	10699	7544	3057	3392	2939	1914
ENSG00000046604	2855	2017	2912	2839	1663	2153	1420	2153	0	6316	3112	1899	2036	2172	1494	1220	2330	4906	2711	0	2152	0	3359
ENSG00000049540	5143	1303	1604	2105	5171	0	2235	1954	749	0	1022	0	0	1937	4734	1320	0	2280	1474	1889	0	649	1812
ENSG00000049541	1779	3987	628	1511	1745	1484	4077	1700	1856	3205	2680	612	1965	2494	2132	854	2031	3592	681	3513	2256	1089	998
ENSG00000049618	3696	3553	3438	897	3638	3484	203	5229	3802	302	1641	2435	638	6638	6744	5744	6205	7524	5867	6495	5408	1757	5586
ENSG00000052850	1881	9032	5547	2077	2308	2246	9071	1461	0	0	0	0	1057	2137	2028	942	1703	1013	2007	2799	973	603	1569
ENSG00000053918	3198	6254	3539	0	642	0	3877	1387	0	0	0	0	573	0	4391	605	0	273	0	0	0	0	0
ENSG00000054598	4540	4341	709	2210	8824	8204	1766	3475	0	1863	3766	0	3535	2130	10627	3935	0	9284	2304	3832	3325	5829	350
ENSG00000055118	3102	10642	5519	944	3451	6070	6900	676	418	0	0	0	284	1979	4119	0	5310	660	1789	0	0	0	0
ENSG00000056661	4167	9658	7848	4790	6120	5829	7503	6014	3083	7557	5666	3948	6853	6411	3209	5511	6513	6736	6533	3332	6388	6356	6842
ENSG00000057294	2734	3674	1607	609	3059	3958	1605	1428	0	0	2627	2059	2755	1671	3149	2295	405	12573	2008	0	6304	0	0
ENSG00000066926	1362	345	253	3325	2358	2490	970	1905	2438	2577	2508	2540	2576	3215	4527	2890	5561	3353	3107	3458	2817	3035	3188
ENSG00000067082	2101	323	2166	0	4034	2705	2290	1263	0	0	0	0	2262	0	0	0	1183	2332	0	0	0	0	0
ENSG00000067955	6001	1761	4223	2421	2101	2101	1662	2019	2000	2742	2080	1990	2169	2035	2348	2246	2189	5022	2090	1024	1633	2217	1219
ENSG00000068028	2049	4320	1874	1237	3078	1642	4452	1555	1329	5243	3946	750	1248	1558	5275	1477	1372	5678	5899	1648	1410	1631	2689
ENSG00000068078	6609	3532	6103	0	2694	0	8682	0	1583	799	1536	0	2409	2644	3703	2440	3557	6428	2304	0	2627	0	0
