gene	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000001631	1	1	1	2	1	5	3	3	3	1	3	4	3	1	2	1	3	3	1	2	2	1	2	1	1	4	1	2	1	1	1	1	2	6	3	9	4	12	2	5	2	3	5	1	9	9	6	6	7	6	9	2	2	3	1	4	1	1	2	2	2	4	1	3	1	2	2	6	3	5	2	2	2	1	3	3	1	3	1	2	1	1	1	2	3	1	2	5	3	3	2	1	3	3	4	7	2	4
ENSG00000004866	9	2	2	5	2	14	3	6	6	3	5	8	4	3	6	5	5	5	3	2	3	6	3	3	2	3	1	2	5	2	3	3	6	7	8	6	4	4	3	7	2	2	22	4	6	9	6	4	5	7	4	3	10	6	5	3	5	2	4	4	4	8	3	6	1	8	12	7	4	2	6	2	2	5	12	13	2	5	6	4	2	4	1	0	9	5	5	4	4	8	5	8	5	10	4	4	3	12
ENSG00000005339	3	6	3	0	3	5	11	14	8	5	1	4	4	1	1	4	6	6	5	9	5	3	2	16	6	11	4	2	6	5	3	2	4	8	4	16	12	6	5	7	5	10	12	9	7	14	7	9	8	11	12	4	11	9	8	4	3	4	4	1	6	0	4	2	4	16	16	5	4	1	19	3	3	7	6	23	5	6	10	7	4	5	4	3	6	3	4	4	4	6	3	6	18	6	6	5	8	6
ENSG00000005513	3	4	1	0	3	1	15	6	4	3	0	2	2	0	0	0	2	2	1	1	7	4	6	11	6	9	5	8	5	12	6	4	4	4	1	10	19	1	12	5	6	2	6	1	24	15	14	13	15	28	8	7	6	1	4	3	1	2	6	10	15	2	9	3	2	2	8	5	13	1	5	9	3	7	1	32	6	3	8	2	10	10	1	1	2	2	4	0	5	5	5	1	1	2	1	1	1	2
ENSG00000006704	9	5	1	1	5	5	6	12	7	5	5	6	6	3	2	2	13	3	0	0	2	3	3	3	2	1	4	1	1	4	0	0	2	5	1	13	18	6	7	8	2	4	1	4	5	15	11	11	7	16	13	10	19	3	9	5	8	10	11	15	12	3	8	6	6	17	6	9	8	4	19	12	7	8	12	38	9	12	8	12	9	1	4	4	2	11	3	3	3	6	3	3	0	4	0	3	2	11
ENSG00000007168	6	5	4	4	8	12	9	7	3	6	5	7	5	2	6	4	6	4	1	3	6	3	2	4	2	13	7	5	9	4	5	4	2	8	7	17	17	4	6	11	2	11	5	3	9	7	9	5	9	8	6	2	10	2	5	6	2	4	7	5	3	3	4	2	2	5	13	4	4	2	16	1	2	4	7	14	2	4	3	4	3	5	2	4	4	2	3	4	3	1	3	3	16	4	5	2	8	8
ENSG00000007372	2	2	0	0	12	1	5	7	0	2	0	2	0	0	1	2	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	2	0	0	0	0	9	18	27	13	14	23	14	0	0	0	0	0	0	7	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	1	0	8	0	0	0	0
ENSG00000008196	2	0	5	0	0	0	0	6	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	9	0	0	0	0	0	2	0	0	0	0	0	0	1	11	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0
ENSG00000008710	16	14	9	13	5	13	16	9	5	11	9	9	21	4	9	8	18	11	3	3	5	8	5	6	3	3	6	3	5	6	4	6	5	10	7	24	28	11	16	21	1	6	20	12	20	22	16	17	22	20	19	21	15	10	19	11	13	17	21	12	14	9	14	8	19	13	23	20	17	2	29	20	17	22	16	42	19	12	26	12	8	16	7	5	6	8	6	15	9	6	5	6	4	10	8	11	10	8
ENSG00000012048	6	2	1	5	1	5	5	4	3	2	5	3	3	2	2	3	6	3	6	3	2	2	3	2	2	2	1	1	3	2	2	2	1	3	5	11	6	6	6	12	1	2	2	3	1	1	2	1	2	2	2	3	2	3	3	5	4	5	1	3	2	3	3	4	3	3	5	7	3	2	6	4	2	2	4	8	2	2	7	2	6	3	1	10	2	3	14	2	2	2	2	1	7	2	3	2	1	2
ENSG00000017260	5	4	3	7	5	5	7	4	3	7	5	3	3	2	5	4	4	2	1	2	4	4	1	2	2	4	2	1	5	2	2	2	4	3	9	7	4	6	3	3	1	5	4	1	3	9	6	4	5	6	6	4	2	2	3	3	1	3	3	6	6	2	2	3	3	7	5	4	4	1	16	3	3	2	10	2	3	8	5	8	6	1	2	2	9	3	3	5	1	5	2	4	4	6	4	3	2	5
