gene	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000001631	4	3	2	3	4	4	1	0	5	3	3	4	4	5	3	3	5	6	3	5	1	1	6	2	7	6	13	14	3	2	4	7	8	4	3	5	4	5	5	6	8	6	5	6	4	3	4	3	11	5	2	8	6	5	6	4	8	17	2	10	6	3	7	3	12	7	10	2	10	8	9	12	3	4	2	5	2	6	2	3	5	3	3	2	8	4	0	2	2	7	5	2	7	2	9	2	7	8	5	5	5	6	7	3	9	12	8	4	9	4	9	5	5	2	4	2	3	6	5	2	2	2	6	6	5	3	8
ENSG00000004866	11	5	13	3	4	8	2	7	16	13	5	4	12	13	11	10	10	15	8	12	6	8	10	12	13	11	18	21	6	6	2	3	5	5	6	12	7	3	4	8	6	8	4	10	4	4	3	3	15	9	14	11	7	8	8	7	5	13	1	25	4	6	24	11	12	16	16	6	9	5	10	14	3	14	8	10	4	6	8	8	19	4	5	1	21	16	3	7	6	7	6	7	12	13	15	11	16	8	5	7	16	11	20	7	8	12	10	7	8	2	8	8	1	17	13	9	7	12	12	7	17	7	14	8	5	6	14
ENSG00000005339	13	4	10	6	19	21	13	4	15	8	6	14	16	13	14	13	23	16	11	13	10	16	14	19	15	13	28	21	13	13	12	21	19	18	6	8	6	13	9	11	3	16	3	12	21	20	6	18	9	20	17	13	17	21	21	16	12	20	9	14	18	13	13	15	15	13	16	14	10	22	19	15	18	11	17	13	17	18	12	13	9	16	17	7	12	17	16	18	13	18	24	20	21	23	28	26	9	18	17	21	17	31	21	18	18	18	19	14	25	12	30	10	9	10	8	13	7	14	9	6	20	9	13	12	17	16	11
ENSG00000005513	4	3	8	1	10	18	19	0	23	28	2	18	6	5	13	5	10	2	4	5	9	37	4	12	1	8	26	3	2	3	4	7	9	20	8	13	12	10	14	13	11	11	17	11	15	9	12	9	14	9	12	11	17	23	13	25	3	5	20	13	12	12	1	5	25	25	22	27	12	26	32	26	22	4	10	5	24	22	13	16	5	5	2	3	0	15	18	21	19	16	13	16	5	14	17	23	6	2	8	7	5	3	19	6	20	16	2	12	8	6	28	5	3	1	5	6	4	12	10	6	1	4	7	1	2	1	7
ENSG00000006704	5	5	7	0	10	16	6	1	12	10	7	9	2	2	7	4	13	4	2	3	3	22	4	14	5	4	13	9	3	0	4	7	1	5	3	4	4	2	6	6	5	8	6	6	6	2	2	3	7	3	3	12	7	9	13	11	9	12	5	5	3	5	0	3	6	10	9	5	6	7	12	9	14	10	10	3	16	7	8	8	7	16	17	5	1	8	23	19	10	14	10	8	15	10	9	11	6	11	8	8	5	9	23	2	19	17	7	10	9	2	10	9	3	3	11	9	4	6	7	3	3	3	7	1	5	2	7
ENSG00000007168	9	4	7	4	8	14	3	0	11	8	10	6	6	12	11	10	15	12	6	10	1	11	14	12	21	9	14	19	4	8	3	20	11	19	7	6	16	17	21	11	13	21	14	19	19	22	13	16	9	10	8	10	9	11	16	11	4	13	3	23	12	17	8	14	19	18	19	3	13	15	12	17	16	12	11	12	7	9	6	7	6	6	9	3	8	12	7	8	3	11	8	13	20	15	13	11	4	14	11	12	10	14	16	15	16	19	17	16	12	3	14	11	8	0	10	2	5	1	4	8	7	3	14	4	9	9	11
ENSG00000007372	25	17	43	6	19	34	32	8	14	21	34	30	20	35	38	36	16	37	32	36	21	44	9	34	8	5	27	14	9	9	2	21	14	24	9	15	16	19	17	14	14	17	14	17	17	14	10	15	10	9	17	12	11	20	19	19	21	19	15	16	8	13	2	18	7	12	13	19	17	7	8	13	23	17	14	17	23	27	27	27	14	22	24	0	8	18	16	22	18	23	23	32	19	30	31	23	17	18	18	14	7	15	34	14	21	20	17	14	21	7	19	2	0	7	2	5	11	5	3	11	4	7	19	2	13	3	9
ENSG00000008196	12	11	16	2	8	10	6	3	3	4	7	15	1	22	15	13	1	15	12	12	9	11	1	15	2	0	18	1	1	4	2	2	0	5	2	2	2	1	3	3	5	2	3	2	2	2	1	0	1	3	4	5	5	9	1	2	8	12	3	11	1	4	0	10	3	2	2	8	6	1	2	5	1	4	3	2	4	3	4	0	2	1	1	2	1	6	5	5	5	2	1	7	1	2	2	8	12	3	2	2	1	0	2	1	3	3	0	2	4	0	4	0	1	0	0	0	2	1	2	2	8	3	1	0	11	0	1
ENSG00000008710	12	6	16	2	16	30	14	1	19	14	2	16	15	13	12	7	24	6	5	7	8	29	10	14	11	13	26	24	8	8	7	7	6	13	11	13	5	9	8	10	7	13	7	8	10	11	6	6	11	10	14	14	11	14	15	29	17	21	10	14	10	11	3	13	18	18	15	12	10	22	23	14	21	16	11	13	26	14	10	11	9	20	17	2	3	13	13	15	17	18	17	15	20	24	24	17	12	16	16	21	20	18	24	18	24	21	13	13	20	12	21	9	15	4	7	6	13	16	7	7	11	8	16	12	13	16	11
ENSG00000012048	1	1	1	1	3	12	6	0	6	2	0	1	1	1	1	1	5	3	2	0	3	9	2	4	3	4	8	6	6	5	3	6	2	4	3	8	2	3	3	2	3	3	2	3	2	3	2	2	4	6	6	2	3	3	4	4	4	5	2	6	5	6	1	9	2	3	3	2	3	2	3	2	3	3	4	3	5	6	4	2	2	6	7	1	0	7	3	3	10	6	10	2	1	8	2	8	4	2	2	3	2	3	4	2	3	2	2	5	6	3	11	5	9	3	6	11	5	2	3	4	2	6	3	2	6	2	5
ENSG00000017260	7	3	9	9	3	2	4	6	8	8	7	9	9	13	11	9	4	12	7	11	9	2	10	11	7	9	17	16	5	5	3	8	8	3	15	19	13	10	9	11	12	11	11	12	5	3	10	15	10	15	16	5	4	6	11	5	11	11	1	15	5	13	5	8	9	8	9	2	6	5	7	6	2	6	5	4	2	7	4	9	7	4	5	2	12	12	6	9	1	6	7	2	6	3	2	3	4	16	8	9	4	7	6	3	20	19	11	7	21	7	3	13	6	9	7	3	9	4	12	5	12	5	9	6	10	9	9
ENSG00000017427	6	4	1	1	10	1	4	1	0	0	7	1	9	3	3	4	12	5	3	5	2	1	11	3	8	8	6	1	4	1	1	5	4	3	4	4	2	2	2	4	2	2	2	2	2	5	3	2	7	3	3	6	0	0	1	0	2	2	2	11	1	24	9	26	2	0	6	0	3	3	1	2	5	5	6	5	5	2	0	3	0	1	0	4	0	15	2	6	3	11	2	3	4	4	18	3	4	9	3	8	2	5	2	1	6	5	6	7	6	3	4	3	3	15	8	1	2	5	4	3	8	4	8	3	1	1	7
ENSG00000018625	16	14	27	6	10	31	28	11	16	23	16	19	15	19	18	19	21	19	11	20	19	37	15	20	12	10	16	10	6	3	3	6	3	6	3	13	4	4	3	3	4	4	2	4	5	8	4	5	12	5	7	17	15	21	24	28	14	11	12	9	5	21	14	6	23	28	30	13	20	19	36	31	10	14	8	19	22	20	6	11	10	14	12	5	2	14	22	16	20	16	10	12	37	13	34	14	13	35	10	8	16	31	33	2	22	18	5	7	28	4	16	16	5	5	8	20	9	20	25	2	9	6	7	6	7	7	15
ENSG00000021574	2	0	1	0	2	10	0	0	2	5	3	2	3	1	1	2	2	1	3	1	0	4	3	3	1	3	8	7	7	7	6	10	6	9	6	8	10	6	9	10	8	9	6	8	6	9	9	4	2	5	4	3	5	3	4	2	3	3	0	6	7	3	2	5	5	4	5	2	4	5	3	4	3	4	7	2	2	4	5	5	2	8	14	0	5	5	1	2	5	2	6	3	1	8	3	4	1	1	5	4	2	3	5	1	3	4	10	4	1	2	6	5	6	4	4	8	2	0	2	4	10	5	5	0	3	2	3
ENSG00000026103	9	3	6	2	5	15	6	3	18	10	7	17	16	11	7	11	17	12	10	10	2	2	20	11	20	19	32	23	9	10	6	16	13	22	10	17	19	17	13	15	15	24	15	24	23	12	13	18	18	12	17	12	11	13	21	20	5	13	4	18	13	14	23	22	5	12	2	1	7	4	6	10	10	20	22	18	6	12	3	5	5	10	13	5	4	23	5	13	4	21	9	4	10	8	35	6	3	5	18	26	27	12	8	11	10	13	28	13	32	5	11	8	12	8	8	5	12	10	9	9	0	6	12	20	17	21	20
ENSG00000030582	5	6	12	2	11	30	5	2	10	9	5	10	3	7	9	5	15	9	4	8	7	31	11	15	10	3	17	13	14	13	13	15	3	13	12	15	10	8	10	12	12	16	10	11	8	16	8	9	6	14	19	10	8	5	26	29	9	18	10	12	12	18	1	13	14	10	13	5	9	12	15	11	20	8	11	7	18	10	11	9	6	25	23	2	2	8	23	24	31	15	21	14	5	15	10	12	12	3	13	9	1	6	16	4	9	13	4	12	10	11	37	8	13	9	11	10	7	8	8	4	13	13	11	6	6	8	10
ENSG00000032444	4	3	11	1	10	19	9	1	10	7	8	7	8	3	8	5	8	6	4	5	7	28	7	19	8	7	16	11	10	6	8	13	5	14	13	14	8	8	8	9	9	7	10	10	8	11	6	7	8	10	13	9	6	9	12	15	10	10	8	13	10	15	2	11	9	11	10	6	11	8	13	7	16	9	12	10	12	14	9	8	4	11	9	3	1	6	15	11	14	10	14	14	5	12	8	13	7	5	13	9	9	6	12	5	10	18	5	8	12	8	33	5	10	4	7	4	10	6	5	7	12	11	10	3	7	5	8
ENSG00000034971	6	3	6	1	4	4	3	3	5	3	6	3	4	5	6	9	4	10	5	3	4	9	12	8	10	10	12	4	3	3	0	2	1	3	2	4	1	2	4	1	2	3	1	3	2	2	1	1	5	4	7	4	1	3	9	8	1	1	2	3	2	12	6	7	3	3	6	0	3	3	3	7	7	12	4	12	6	6	2	2	10	4	7	1	0	6	7	9	9	7	2	3	13	9	11	9	2	10	3	6	11	8	15	4	9	9	1	4	18	2	6	3	2	0	1	5	3	6	6	1	2	1	3	9	2	5	8
ENSG00000040608	3	1	5	0	5	21	17	0	24	26	7	23	0	3	3	1	8	2	1	1	2	41	2	25	3	1	8	4	1	3	4	4	0	6	3	8	2	3	2	3	3	2	2	2	3	5	3	2	2	3	8	4	12	17	7	16	4	8	3	7	2	4	0	14	12	10	15	13	9	23	26	5	5	1	3	2	13	11	19	16	6	10	8	1	0	3	22	19	7	10	19	7	5	8	5	21	3	5	2	2	2	2	11	1	6	8	1	3	6	6	29	2	2	0	2	2	1	3	8	0	5	1	8	0	4	3	3
