gene	E003	E004	E005	E006	E007	E008	E017	E021	E022	E028	E029	E032	E033	E034	E046	E050	E051	E055	E056	E057	E059	E080	E081	E082	E083	E084	E085	E086	E088	E089	E090	E091	E092	E093	E094	E097	E098	E100	E109	E114	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128
ENSG00000000419	5	3	4	5	11	3	10	15	15	4	2	12	8	11	5	4	7	10	6	7	4	8	9	11	5	3	3	12	5	7	6	15	6	4	1	12	6	11	7	10	5	1	17	4	4	13	3	10	3	9	6	39	10
ENSG00000000457	5	9	6	6	4	2	8	2	4	7	3	13	9	19	12	10	8	11	8	6	1	5	5	7	4	12	11	6	8	1	3	6	8	7	4	5	7	5	8	5	9	3	2	5	9	11	5	4	6	7	6	3	10
ENSG00000000460	3	9	10	6	3	3	6	5	7	7	3	6	2	4	3	7	2	5	5	3	5	3	2	2	3	4	6	6	8	3	4	11	4	4	4	3	3	2	3	8	5	3	1	4	6	8	11	6	3	7	4	7	8
ENSG00000000938	18	18	7	14	17	12	10	26	20	10	39	47	36	58	38	25	29	17	18	10	8	16	8	8	16	8	6	18	19	17	20	24	22	47	3	24	14	28	11	11	30	6	11	8	6	14	11	16	46	5	17	13	9
ENSG00000000971	3	3	0	3	1	2	2	2	4	1	0	0	1	3	3	4	3	4	2	2	2	2	2	3	2	1	1	3	2	14	16	1	2	3	1	11	2	6	2	4	1	5	0	1	7	11	5	4	1	2	2	1	2
ENSG00000001036	11	4	7	5	10	6	10	17	13	2	8	14	14	18	7	8	10	10	7	7	3	19	7	15	24	10	6	12	14	10	6	11	7	19	4	14	6	6	9	5	7	2	12	4	5	10	5	13	8	6	9	9	4
ENSG00000001084	12	16	8	8	5	11	11	17	9	6	5	14	5	13	5	10	13	7	8	11	6	12	3	7	14	9	7	6	11	7	7	6	8	10	8	9	9	6	11	12	5	4	5	8	6	5	5	10	8	7	10	12	10
ENSG00000001167	4	12	5	6	8	3	9	6	8	3	6	8	7	12	9	9	7	8	9	8	5	11	5	8	31	24	17	8	9	12	10	17	15	14	14	9	12	19	16	5	4	3	14	4	17	15	7	11	5	8	10	11	8
ENSG00000001460	11	10	7	21	8	9	20	8	7	17	17	15	17	19	16	13	17	24	20	19	12	8	10	9	11	17	10	11	13	9	10	21	18	14	15	11	13	9	19	15	9	9	8	20	15	22	16	14	13	19	27	20	20
ENSG00000001461	7	6	7	10	6	6	15	9	7	10	11	7	9	10	8	8	11	17	15	8	11	6	10	7	10	18	10	8	9	7	9	13	14	6	12	8	10	9	18	9	5	5	7	10	9	12	7	15	8	12	16	15	13
ENSG00000001561	4	4	1	1	2	2	1	5	4	2	4	10	6	5	11	4	3	1	1	1	1	3	2	2	5	7	5	5	6	2	1	5	5	6	3	3	4	6	6	1	8	0	1	2	5	6	2	1	3	1	3	0	1
ENSG00000001626	8	4	2	7	7	4	4	13	8	0	0	0	2	0	0	7	2	0	0	1	3	0	3	7	12	29	18	14	5	1	0	8	6	7	5	2	23	1	28	5	4	7	1	1	0	2	0	0	1	0	0	4	0
ENSG00000001629	2	5	7	9	4	1	16	10	14	6	6	5	2	9	6	7	7	9	13	10	6	7	9	11	5	6	7	15	6	7	5	4	5	8	5	9	9	10	10	6	9	6	4	8	4	9	7	12	8	8	10	20	9
ENSG00000001630	4	3	5	12	5	2	6	11	8	2	6	8	7	6	5	6	7	3	6	5	5	14	2	6	5	8	8	17	8	4	6	2	6	5	10	10	7	4	9	5	11	5	4	8	6	8	5	9	2	8	6	49	8
ENSG00000002016	10	7	8	15	11	8	13	22	25	7	8	12	15	26	13	11	8	12	9	9	5	18	8	11	13	11	12	17	17	10	6	22	8	14	8	16	11	13	12	17	11	11	10	9	12	13	9	14	16	9	10	35	11
ENSG00000002330	37	13	14	17	44	21	20	53	54	15	26	71	43	63	35	34	34	33	29	14	17	26	28	23	22	19	20	58	22	28	30	59	38	32	16	78	29	46	33	41	14	22	23	16	17	25	15	21	32	19	30	26	17
ENSG00000002549	4	5	3	3	1	2	4	3	6	4	6	6	4	7	6	4	7	10	9	3	4	8	4	5	6	10	8	8	6	4	4	6	4	6	2	5	6	9	6	2	16	3	9	2	7	6	9	7	7	5	10	4	4
ENSG00000002587	7	15	6	4	8	6	2	9	9	11	6	12	8	2	3	5	4	1	0	11	7	11	14	17	13	11	7	3	16	7	10	5	10	14	4	40	4	2	12	2	5	2	0	11	3	4	6	1	4	6	0	12	6
ENSG00000002726	7	2	11	1	7	3	3	14	18	3	2	3	3	3	1	7	4	1	0	2	1	3	2	1	14	12	10	17	4	4	4	10	7	4	2	10	6	4	19	2	1	1	3	4	4	2	0	6	12	2	7	3	1
ENSG00000002745	3	10	5	10	10	2	13	12	12	5	0	28	12	2	4	9	9	27	17	7	8	10	10	17	10	7	5	21	14	12	13	8	15	5	4	4	7	2	13	2	4	7	3	9	16	17	3	9	2	14	21	12	11
ENSG00000002746	17	15	3	11	16	12	10	36	28	2	1	5	1	1	4	6	4	21	16	7	5	7	9	20	6	2	1	22	9	11	11	6	7	5	2	10	7	1	3	6	11	0	3	4	6	13	3	13	5	11	14	9	10
ENSG00000002822	16	14	5	11	18	10	14	29	43	9	15	46	20	24	21	18	22	27	21	14	15	12	5	8	12	9	9	37	17	25	26	26	9	21	4	28	11	45	13	20	29	12	17	11	6	20	8	13	21	15	20	14	11
ENSG00000002834	22	23	23	23	36	18	41	47	52	19	19	38	39	70	41	26	31	36	33	14	16	31	22	26	38	28	19	48	28	36	26	47	32	41	26	50	35	35	33	56	33	16	33	22	34	48	21	19	29	30	24	57	33
ENSG00000002919	11	10	3	13	12	7	7	21	19	5	7	33	24	31	16	14	17	12	9	6	8	10	9	16	4	8	9	17	9	16	17	13	8	15	6	15	11	14	11	21	33	6	9	6	9	9	11	7	13	4	17	15	4
ENSG00000002933	11	3	6	6	12	5	4	19	25	2	14	4	4	9	7	17	11	3	2	2	0	3	3	7	29	15	19	24	15	30	20	14	19	11	9	23	14	16	29	0	5	0	3	2	2	6	0	9	18	1	13	2	2
ENSG00000003056	6	3	3	3	5	6	3	22	22	3	4	12	13	32	15	8	8	7	6	2	5	8	4	6	4	3	3	11	4	4	7	7	4	25	4	6	5	9	14	8	8	4	6	6	4	6	5	8	9	4	5	14	5
