gene	E003	E005	E006	E008	E009	E010	E017	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000000419	3041	2632	3559	1979	1545	1504	2041	1608	1708	1873	2939	1154	2519	1770	2401	1562	1251	2813	2292	1167	1648	1205	1556
ENSG00000000457	4625	1518	3534	4626	5685	4213	4287	7747	5778	7535	4695	2552	4135	3704	3489	3158	5784	9482	4989	3326	4926	5571	6347
ENSG00000000460	3073	1634	3371	1586	2388	2795	1786	1952	3101	3970	3359	1928	2956	2266	2433	2606	2650	3459	2626	3117	3596	3441	3087
ENSG00000000938	3062	3964	2323	1204	3673	0	1533	0	2278	8864	0	0	1975	1828	3967	2222	1449	0	4748	1775	789	693	1815
ENSG00000000971	1115	0	692	871	2413	4075	754	2353	7665	0	2063	0	1054	2427	2431	5876	3088	3005	2229	8758	2041	2983	3585
ENSG00000001036	2304	3925	2089	1335	1550	1719	1383	1545	0	2666	2057	2506	1526	356	1553	1533	1549	1563	712	1426	1377	1538	369
ENSG00000001084	1825	2215	2611	2281	2621	2594	2410	4005	6765	3051	2486	1812	3443	2670	2953	1973	5478	6688	6457	6218	3015	3308	7477
ENSG00000001167	4703	3924	4015	2569	4473	5828	3984	2923	3446	4723	4555	3260	6029	4582	5988	4757	4614	6171	5620	5576	4982	4862	7155
ENSG00000001460	6288	6820	1053	1122	5665	4539	1908	5849	2557	2695	2307	4122	4982	3634	6200	2305	3449	6074	4756	5853	2481	2160	4796
ENSG00000001461	6288	6820	3916	1603	5665	4539	1908	5849	2557	2695	3106	4122	4982	3634	6200	2382	4744	6074	4756	5853	2481	2160	4796
ENSG00000001561	3320	1230	1475	1452	3158	2477	1522	1645	3139	3419	0	0	1602	1667	2102	1796	0	5371	3150	2078	0	1560	2913
ENSG00000001626	2087	1486	1507	1730	1382	2583	1327	4340	1814	0	0	0	910	1373	1339	1304	0	0	1677	0	1469	1566	0
ENSG00000001629	1829	2094	2057	2053	3218	3630	2115	2096	2587	4572	2860	2040	2665	2392	2586	3153	3141	3888	2614	3643	4580	3616	3770
