gene	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000000419	2	2	4	5	5	4	1	3	5	3	2	2	4	1	1	2	5	1	1	1	2	1	2	8	3	14	3	2	6	2	1	1	1	1	7	10	17	5	2	14	1	1	2	1	1	1	2	1	1	1	1	3	4	1	2	5	1	2	1	2	1	3	1	1	1	2	1	4	5	4	4	1	1	1	3	6	2	2	1	2	3	1	1	1	1	2	2	5	2	1	1	2	3	3	1	6	2	2
ENSG00000000457	3	4	7	4	3	4	2	3	7	6	3	3	4	2	2	3	2	6	1	8	4	4	3	2	3	5	5	5	8	6	7	2	5	3	8	17	9	4	1	1	3	1	3	1	1	3	3	4	3	3	1	8	5	5	3	5	4	5	5	1	1	4	3	3	7	2	5	5	5	2	2	6	3	4	4	5	6	1	7	2	5	3	2	1	5	1	1	1	4	2	1	1	4	4	3	4	2	11
ENSG00000000460	7	7	11	3	4	7	3	2	5	3	5	4	1	5	1	5	3	3	1	1	1	1	1	3	2	3	3	1	3	1	2	1	1	2	4	4	3	5	2	10	2	2	3	1	2	2	2	1	1	1	2	2	1	1	4	1	1	2	0	1	1	3	1	2	1	1	3	3	2	3	1	1	1	1	2	2	3	1	1	1	3	1	3	5	1	1	2	4	1	2	5	1	5	5	3	2	1	3
ENSG00000000938	8	5	4	2	5	6	11	9	4	5	3	5	2	1	4	0	13	1	14	14	21	11	11	9	9	14	13	13	12	11	24	8	9	1	10	13	15	6	9	8	17	10	1	7	9	20	8	12	10	19	11	12	12	7	17	10	3	3	1	6	9	8	10	22	5	13	20	2	5	6	7	15	8	7	15	21	10	8	16	11	24	21	1	26	12	1	3	4	2	2	1	5	11	1	3	4	3	3
ENSG00000000971	0	0	0	4	0	5	2	0	0	0	0	0	1	0	0	0	1	4	0	0	3	1	1	0	0	2	1	0	0	2	0	0	4	2	6	3	1	0	0	2	0	4	0	5	0	1	0	0	0	2	0	2	0	3	1	1	2	0	0	5	4	0	0	1	0	2	0	3	1	0	6	1	6	0	3	2	4	6	3	0	0	0	1	7	0	15	0	0	3	2	2	6	1	3	3	0	4	3
ENSG00000001036	2	1	1	3	0	6	1	2	1	2	1	1	1	1	1	5	4	1	4	3	2	3	3	3	3	2	3	3	2	2	2	1	2	1	4	3	5	1	2	1	4	2	3	1	1	2	1	2	1	1	2	1	3	1	2	3	9	2	1	3	2	3	1	4	3	5	5	6	1	2	3	3	1	2	5	10	3	2	2	3	4	2	1	0	3	1	1	0	1	2	1	1	9	1	2	1	2	1
ENSG00000001084	17	9	5	5	4	17	0	9	0	12	12	9	9	7	19	4	12	5	3	4	2	3	3	4	4	3	2	2	4	4	4	3	4	2	5	4	3	13	3	2	2	8	3	10	11	10	12	10	8	5	11	6	15	10	8	7	3	4	4	2	4	4	5	4	6	9	4	8	7	1	11	8	4	7	11	9	9	5	13	11	4	6	12	4	3	2	6	8	2	3	3	3	5	4	3	11	4	6
ENSG00000001167	4	5	5	10	5	8	0	5	0	10	5	2	11	6	4	7	5	2	2	3	5	4	2	10	4	6	4	7	7	9	5	3	2	4	7	7	8	6	4	11	5	4	4	5	4	4	3	2	4	4	2	8	8	14	4	3	9	10	15	11	13	5	11	11	14	10	5	7	9	5	18	6	4	6	19	20	7	5	16	7	17	4	2	7	4	2	6	2	4	10	1	1	12	3	5	2	2	3
ENSG00000001460	5	1	4	4	0	8	5	3	7	5	1	5	13	1	4	1	4	7	3	7	6	6	5	5	4	12	7	7	7	5	7	3	7	11	6	16	14	14	2	9	3	5	0	7	14	10	13	15	16	11	14	14	7	8	15	4	9	8	5	1	2	9	11	5	8	4	13	3	7	7	4	10	16	6	6	7	26	2	13	7	15	9	12	2	6	13	3	8	9	6	9	7	7	12	8	11	10	10
ENSG00000001461	4	1	6	3	0	5	6	3	3	3	1	3	8	1	2	0	6	4	2	5	4	6	3	9	3	13	5	7	5	5	2	2	6	8	6	14	15	12	4	7	3	4	0	3	17	10	13	17	17	10	16	12	7	6	6	1	9	8	5	0	3	7	6	4	6	5	10	4	7	7	4	8	14	4	3	10	12	2	10	5	11	4	5	2	3	8	3	5	7	3	4	9	8	7	5	6	8	6
