EnsemblID,predictedProb,HGNCsymbol,batch,exp_mis,exp_lof,mis_z,lof_z,pLI,NimblegenSeqCapEZv2,Medexome
ENSG00000119042,0.972033333,SATB2,HItraining,262.1683782,21.95447898,4.747790111,4.641424287,0.999563007,T,T
ENSG00000125378,0.971616667,BMP4,HItraining,183.8298732,10.34719143,1.90584731,3.186404486,0.967466005,T,T
ENSG00000168621,0.966416667,GDNF,HItraining,94.12948387,3.674254345,1.367713369,1.898778391,0.698672292,F,F
ENSG00000164190,0.962966667,NIPBL,HItraining,798.3388253,110.5670717,5.043372931,10.32183261,1,T,T
ENSG00000122691,0.962716667,TWIST1,HItraining,104.9293204,2.297019306,3.816577403,0.847722694,0.182033891,F,F
ENSG00000164093,0.96265,PITX2,HItraining,144.5523801,7.648953705,3.073633295,2.381452936,0.672788796,T,T
ENSG00000166068,0.9593,SPRED1,HItraining,144.5976683,19.55198132,1.041206167,3.708038642,0.868668326,F,F
ENSG00000168214,0.95835,RBPJ,HItraining,153.3465069,26.82072939,3.726535826,5.130090068,0.999929169,T,T
ENSG00000198807,0.958133333,PAX9,HItraining,170.6827027,8.375687486,2.796029403,1.839981535,0.088094505,T,T
ENSG00000121454,0.958033333,LHX4,HItraining,153.8430326,13.43667804,0.703631869,2.820369512,0.401093501,T,T
ENSG00000106571,0.952966667,GLI3,HItraining,675.9096302,38.18228158,1.522201735,5.960665899,0.999994739,T,T
ENSG00000128573,0.951616667,FOXP2,HItraining,216.0662039,38.19422335,1.566145816,5.320510977,0.996178831,T,T
ENSG00000049618,0.94865,ARID1B,HItraining,744.3513483,54.20428405,3.394655956,6.485725036,0.99994993,T,T
ENSG00000140443,0.948583333,IGF1R,HItraining,571.7508319,41.52493902,3.636006488,4.999788667,0.55297426,T,T
ENSG00000171862,0.948066667,PTEN,HItraining,115.6960609,15.53392873,3.714996503,3.652851372,0.975506866,F,F
ENSG00000116833,0.947983333,NR5A2,HItraining,177.0563396,22.93473977,1.619455,4.123380243,0.959085111,T,T
ENSG00000171843,0.947033333,MLLT3,HItraining,174.6233494,15.76364994,1.614670395,3.932946916,0.99559105,T,T
ENSG00000204217,0.946833333,BMPR2,HItraining,327.7575458,34.15253885,1.452376436,5.110955743,0.996668086,T,T
ENSG00000157540,0.945116667,DYRK1A,HItraining,268.8172929,26.49898339,3.365608247,4.906795365,0.999584542,T,T
ENSG00000227268,0.944833333,KLLN,testing,NA,NA,NA,NA,NA,F,F
ENSG00000136352,0.94245,NKX2-1,HItraining,178.6321151,8.177218996,3.353392042,1.793425893,0.081926486,T,T
ENSG00000141448,0.941116667,GATA6,HItraining,NA,NA,NA,NA,NA,F,F
ENSG00000007372,0.940633333,PAX6,HItraining,158.6907391,23.67848369,3.637786528,4.616648412,0.998807897,T,T
ENSG00000135111,0.938533333,TBX3,HItraining,283.1282715,13.49626553,2.997800057,3.369481908,0.948925457,F,F
ENSG00000196628,0.93765,TCF4,HItraining,240.2687112,29.53613763,4.426175526,5.201253214,0.999866544,T,T
ENSG00000087460,0.937633333,GNAS,HItraining,424.7083846,26.22702826,4.336402188,4.879566854,0.999540082,T,T
ENSG00000184937,0.93755,WT1,HItraining,NA,NA,NA,NA,NA,F,F
ENSG00000100393,0.9373,EP300,HItraining,786.1716874,85.74162948,1.555552967,8.958498606,1,T,T
ENSG00000120149,0.93655,MSX2,HItraining,103.1919423,4.997432754,1.068533526,1.771321305,0.421492416,F,F
ENSG00000165588,0.9365,OTX2,HItraining,102.075786,8.567097032,1.020326453,2.560956273,0.744599587,T,T
ENSG00000185920,0.935966667,PTCH1,HItraining,614.9522207,42.2647867,2.859042304,6.287528585,0.999998857,T,T
ENSG00000109670,0.9358,FBXW7,HItraining,207.9827681,29.93010253,3.628413114,5.419307282,0.999977859,T,T
ENSG00000168137,0.933683333,SETD5,HItraining,442.4265328,49.24896135,-0.03659002,6.669348547,0.999999564,T,T
ENSG00000103449,0.9319,SALL1,HItraining,478.3979069,19.66518276,0.478512166,4.169393609,0.994674178,F,F
ENSG00000174106,0.931033333,LEMD3,HItraining,368.8743665,32.88431481,2.390695982,5.162244674,0.998968435,T,T
ENSG00000183072,0.93095,NKX2-5,HItraining,164.2921855,6.137768542,1.842828507,2.454115297,0.858647741,F,F
ENSG00000124813,0.930666667,RUNX2,HItraining,217.0315598,15.9975494,2.557548595,3.962017879,0.995958899,T,T
ENSG00000141646,0.929966667,SMAD4,HItraining,179.5922834,19.15881389,4.182423885,3.883226447,0.967432536,T,T
ENSG00000140262,0.929483333,TCF12,HItraining,222.6417419,28.58703509,0.348838357,4.555240416,0.973899934,T,T
ENSG00000221818,0.9292,EBF2,testing,215.1196385,23.9812666,2.238338925,4.244097398,0.97196579,T,T
ENSG00000158321,0.92905,AUTS2,HItraining,523.7259265,38.20030676,3.09321905,5.321062387,0.996187482,T,T
ENSG00000107779,0.92835,BMPR1A,HItraining,188.8884688,22.11979243,2.80754954,3.816387269,0.768624359,T,T
ENSG00000206262,0.928033333,C3orf72,testing,81.33175558,4.459208622,1.536596784,1.153602547,0.093437054,T,T
ENSG00000121022,0.927783333,COPS5,HItraining,103.7016946,15.09230275,3.299825791,3.848286592,0.994339561,T,T
ENSG00000104447,0.92765,TRPS1,HItraining,398.6792656,26.8162612,1.143480978,4.555795065,0.990109018,T,T
ENSG00000125398,0.92715,SOX9,HItraining,268.6191018,12.21026154,4.107019123,3.461402864,0.983539903,F,F
