Gene	exp_lof	lof_z	pLI
ENSG00000157933	11.8782619	3.4140203577549	0.981402099833324
ENSG00000078369	15.5286128619	3.90351618395158	0.995187833121982
ENSG00000187730	12.344871177	3.19849778178801	0.923498878454823
ENSG00000157916	10.50163805	3.21009774173474	0.969239732851388
ENSG00000142611	33.514289976	5.39240115673916	0.999843194473124
ENSG00000078900	19.9959907997	3.98652029282599	0.975977778366269
ENSG00000157881	26.5306662926	4.33300935812454	0.945333401831958
ENSG00000196581	11.3702451342	3.34021713615087	0.977592766896285
ENSG00000116254	65.6700782763	7.66065975856532	0.999999995117076
ENSG00000007923	29.1892942866	5.35181951142082	0.999970790294974
ENSG00000171608	35.2577993697	5.7150698282275	0.999984294919708
ENSG00000171735	50.9381051574	6.93107141505913	0.999999955418418
ENSG00000142599	47.5123732979	6.3968636449056	0.999995655258253
ENSG00000120948	11.77848033	3.39965085592477	0.980707836590808
ENSG00000142657	19.2649582535	3.89646878716073	0.968660462332331
ENSG00000130940	36.0161071158	5.61469188359405	0.999938476327784
ENSG00000054523	82.8545602851	8.58140303401592	0.999999999958917
ENSG00000130939	49.0776900475	6.3739590568025	0.999987413556799
ENSG00000116688	28.6786322132	5.11982467804772	0.999816094005639
ENSG00000198793	113.443116817	9.80660902720175	0.999999999999676
ENSG00000048707	156.15803174	10.1590567357815	0.999992132395372
ENSG00000116731	37.4940421425	5.2566887622116	0.995040619056877
ENSG00000065526	92.7825275817	9.33595748993695	0.999999999999963
ENSG00000116809	22.5240237382	4.49252144424647	0.998165364992239
ENSG00000197312	17.5004156231	3.67036140122838	0.941088127387327
ENSG00000037637	24.4016137471	4.29167592039647	0.975946026927229
ENSG00000127481	175.779416542	12.5355776339548	1
ENSG00000075151	57.7773787233	7.13858320074372	0.999999906532496
ENSG00000117298	28.0648037571	5.06073512469523	0.999768645958376
ENSG00000127483	18.4525990681	4.02458408978001	0.991643467677446
ENSG00000076864	28.6141970753	4.55810771196195	0.974156915163255
ENSG00000133216	27.6800066991	5.21162086603324	0.999948635231362
ENSG00000090686	44.5063141171	6.31149628760436	0.999997429389181
ENSG00000004487	35.8981266675	5.10841221029378	0.991027964686515
ENSG00000125944	19.9599864169	4.42557650254982	0.999079074304417
ENSG00000011007	32.6328586737	5.65870770898396	0.999991942292927
ENSG00000011009	11.6155528151	3.37605553630803	0.979519145027567
ENSG00000007968	12.0288737652	3.14998465456603	0.914702778499156
ENSG00000204178	23.1548708653	4.3549069706699	0.992504411290221
ENSG00000158055	20.1684763196	4.22805625378287	0.99558395801223
ENSG00000133226	47.0913136785	6.50896899826764	0.999999022390233
ENSG00000142784	25.1333907703	4.76850794333377	0.99930782583365
ENSG00000117713	57.8530246647	7.40423566869749	0.999999996642687
ENSG00000090020	22.501282299	4.07238879898442	0.952228129998873
ENSG00000158161	24.2634063838	4.47718851702157	0.995035731060423
ENSG00000126705	25.65977553	4.82227987894717	0.999431447817631
ENSG00000158195	15.51281762	3.6500270256489	0.975317445622322
ENSG00000116350	21.61868408	3.96665144025118	0.934762697175769
ENSG00000134644	42.2582443607	6.28701823920571	0.999998854510137
ENSG00000060656	53.4382777038	6.02172216649594	0.990698955783316
ENSG00000162419	14.2218731621	3.47299633602766	0.960593932192331
ENSG00000198492	13.893858031	3.69233546821382	0.99116572766449
ENSG00000121753	46.4203513696	5.73133710575067	0.995235377472474
ENSG00000025800	26.4870712425	4.52065736493965	0.988827605869537
ENSG00000084652	15.9753610437	3.95926909280098	0.995925358284739
ENSG00000121774	13.3854217805	3.3533930889419	0.94687645920226
ENSG00000116478	21.7601947087	3.98378225551849	0.937916989643132
ENSG00000162521	17.9158744428	3.95881428764523	0.989804589203081
ENSG00000182866	21.2204723282	4.56317571118166	0.999425040716645
ENSG00000116497	13.39408635	3.35465401769425	0.947039388875535
ENSG00000116560	26.1534752062	4.87217609642598	0.999527260233545
ENSG00000116544	22.4618952724	4.69475504814033	0.999638515813562
ENSG00000160094	12.531165116	3.22676424670869	0.928285965252321
ENSG00000146463	58.5097089521	7.18860591632918	0.999999928925947
ENSG00000126070	37.823598733	6.09215751848316	0.999998843614557
ENSG00000134698	35.6171768129	5.08188844569856	0.990043812111039
ENSG00000116871	24.1446951438	4.26265597140387	0.973584103721944
ENSG00000092853	49.2908176953	5.82586128764538	0.991559393439728
ENSG00000126067	10.79477647	3.25459228604652	0.972351383142869
ENSG00000092847	39.8769014467	6.2553323283008	0.999999463471423
ENSG00000020129	16.5698519226	4.03226421260402	0.99673508374991
ENSG00000054118	39.59558386	6.07580653988541	0.999996899183557
ENSG00000196182	14.069842714	3.7156454986866	0.991723985402898
ENSG00000163874	16.33165793	3.51294193733388	0.91163271519429
ENSG00000188786	22.7827355936	4.31309975802342	0.991394717050406
ENSG00000183431	30.1863866253	5.26216458124374	0.999895351853046
